row,paper_id,title,has_mechanism,mechanism_name,channel,consequence,is_extension_of,confidence,notes
652,bac834b243ee47e83b60117d529a369dec67514e,Does RAG Know When Retrieval Is Wrong? Diagnosing Context Compliance under Knowledge Conflict,Y,context compliance (failure to track whether output was actually controlled by retrieved context vs. parametric prior vs. post-hoc rationalization),RAG,silent-corruption,knowledge conflict,low,"Diagnostic paper defining ""context compliance"" as a distinct evaluable phenomenon within RAG/knowledge-conflict settings; borderline whether distinct enough from knowledge conflict to be its own registry entry."
653,43767015c51be5095a148c3ea666b321e2324100,SHIFT: Gate-Modulated Activation Steering for Knowledge Conflict Mitigation in Retrieval-Augmented Generation,N,,RAG,silent-corruption,,,Mitigation method (gated activation steering) for existing knowledge-conflict phenomenon.
654,4c78b5e846a9de2f2fcfd854ad52641f1b2ced41,Seeing through the Conflict: Transparent Knowledge Conflict Handling in Retrieval-Augmented Generation,N,,RAG,silent-corruption,,,Mitigation/interpretability framework for knowledge conflict; no new mechanism named.
655,e9fa27d3eab2c682afad207c6c35803a0656b6e6,FaithfulRAG: Fact-Level Conflict Modeling for Context-Faithful Retrieval-Augmented Generation,N,,RAG,silent-corruption,,,"Mitigation paper (FaithfulRAG); characterizes ""over-confidence error"" vs ""incorrect-match error"" trade-off under suppression-based faithfulness methods, but this is a methodological trade-off of one class of defenses, not a standalone incidental mechanism."
656,452b4750bfc661f1a78a953f56ebdf2d34369a19,Enhancing Retrieval-Augmented Large Vision Language Models via Knowledge Conflict Mitigation,N,,cross-modal,silent-corruption,,,Mitigation paper for knowledge conflict in retrieval-augmented LVLMs (details truncated); no new mechanism.
657,b8ebfcdb3409fd79ba2dba267d7fc2d75c418d7b,Micro-Act: Mitigating Knowledge Conflict in LLM-based RAG via Actionable Self-Reasoning,N,,RAG,silent-corruption,,,Mitigation method (Micro-Act) for existing knowledge-conflict phenomenon.
658,0a06adbce02a4f5db3b3f08f23394e3acfc9a573,Rethinking All Evidence: Enhancing Trustworthy Retrieval-Augmented Generation via Conflict-Driven Summarization,N,,RAG,silent-corruption,,,Mitigation framework (CARE-RAG) for existing knowledge-conflict phenomenon.
659,4e0a7b531728d3baaceec7c96245f1badce52fd6,TruthfulRAG: Resolving Factual-level Conflicts in Retrieval-Augmented Generation with Knowledge Graphs,N,,RAG,silent-corruption,,,Mitigation framework (knowledge-graph-based) for existing knowledge-conflict phenomenon.
660,4c0a545b1eb73084e3d395435af9cf6649c2b1da,Cutting Off the Head Ends the Conflict: A Mechanism for Interpreting and Mitigating Knowledge Conflicts in Language Models,Y,mechanistic explanation of knowledge conflict via information-flow/attention-head circuit (PH3),RAG,silent-corruption,knowledge conflict,medium,"Mechanistic-interpretability paper explaining knowledge-conflict resolution via a specific causal circuit; borderline new-entry vs. refinement of existing ""knowledge conflict"" per prompt guidance on mechanistic explanations."
661,8a2acc213b370c342cff3fa0301935612b403b21,Dynamic Parametric Retrieval Augmented Generation for Test-time Knowledge Enhancement,N,,RAG,silent-corruption,,,"Efficiency/knowledge-fusion method; ""RAG hallucination"" referenced generically."
662,a2de6faaa98252c163c088613a04ad2dceb284a4,Tug-of-War within A Decade: Conflict Resolution in Vulnerability Analysis via Teacher-Guided Retrieval-Augmented Generations,N,,RAG,silent-corruption,,,Domain-specific (CVE) mitigation framework for knowledge conflict/staleness.
663,01a8565a4529187bf9b51f28f0959f00a4fe8fd5,Conflict-Aware RAG: Multi-Stage Learning with Conflict Signals for Robust Retrieval-Augmented Generation,N,,RAG,silent-corruption,,,Mitigation framework (multi-stage learning) for knowledge conflict.
664,5fd78361291961cf6e695991615efe1f0ac1cda4,Navigating Unreliable Parametric and Contextual Knowledge: Explicit Knowledge Conflict Resolution for LLM Inference,N,,RAG,silent-corruption,,,"Mitigation framework (MACR); mentions ""confirmation bias"" only as background motivation, not centrally characterized/introduced."
665,3502f796c1d15f1355d0838f099178a9415b94b2,ConflictRAG: Detecting and Resolving Knowledge Conflicts in Retrieval Augmented Generation,N,,RAG,silent-corruption,,,Detection/mitigation framework (ConflictRAG) for existing knowledge-conflict phenomenon.
666,812b87876b22260fe046af447c5f40a4ce2906ea,Tug-of-War between Knowledge: Exploring and Resolving Knowledge Conflicts in Retrieval-Augmented Language Models,Y,UNNAMED: over-trust bias toward conflicting external evidence over correct parametric memory in RALMs,RAG,silent-corruption,knowledge conflict,low,"Exploratory finding that RALMs readily abandon correct internal beliefs in favor of conflicting retrieved evidence; a specific characterized behavioral bias within knowledge-conflict literature, not given its own name by authors."
667,cb2afbc72cb0a90be167252faee9df999dc1dbf7,ParamMute: Suppressing Knowledge-Critical FFNs for Faithful Retrieval-Augmented Generation,N,,RAG,silent-corruption,,,Mitigation method (FFN suppression) for unfaithful RAG generation / knowledge conflict.
668,8e8f35f80eeba5ffdd55a2a9fde149460f26348b,Accommodate Knowledge Conflicts in Retrieval-augmented LLMs: Towards Robust Response Generation in the Wild,N,,RAG,silent-corruption,,,Info-theoretic mitigation framework for knowledge conflict.
669,faeeeae11b73d012ddaa942a9d496b3109861f87,Eliminating Retrieval Knowledge Conflicts: Cross-Validation Re-ranking with Large Language Models,N,,RAG,silent-corruption,,,Mitigation method (cross-validation reranking) for inter-context knowledge conflict.
670,fc24091a9b44953c71084449b4fa0eabfb58abb3,KnowPO: Knowledge-aware Preference Optimization for Controllable Knowledge Selection in Retrieval-Augmented Language Models,N,,RAG,silent-corruption,,,Mitigation method (preference optimization) for knowledge conflict.
671,aef8626298e9cc4baf45000697e61626552fc2e4,Retrieval Augmentation Reduces Factual Errors in Knowledge-Intensive Language Model Tasks,N,,RAG,silent-corruption,,,General positioning paper on RAG reducing factual errors; no new mechanism (details truncated).
672,79131f113389c02b47c095ce951f7bebf89f1bf0,MAGIC: A Multi-Hop and Graph-Based Benchmark for Inter-Context Conflicts in Retrieval-Augmented Generation,N,,RAG,silent-corruption,,,Benchmark measuring existing inter-context knowledge-conflict phenomenon (already-named subtype per knowledge-conflict taxonomy).
673,fc7143c7bc1830ef998419c1c708de42dd200840,RPO: Retrieval Preference Optimization for Robust Retrieval-Augmented Generation,N,,RAG,silent-corruption,,,Alignment method (RPO) mitigating over-reliance on retrieved knowledge under conflict.
674,f56dc755713b5550fd8ab913f3ce05bb23be5acd,Do Retrieval-Augmented Language Models Adapt to Varying User Needs?,N,,RAG,silent-corruption,,,Evaluation-framework paper on user-need-conditioned RALM behavior; not a new degradation mechanism.
675,4dc7dca2c5101e68f200b29d733c752ab3e92171,Beyond Black-Box Interventions: Latent Probing for Faithful Retrieval-Augmented Generation,N,,RAG,silent-corruption,,,Mitigation method (latent probing) for RAG faithfulness/knowledge conflict.
707,5c9ecf0ff560e4ee57ef04ac26d17c2f9dd7346b,MemAudit: Post-hoc Auditing of Poisoned Agent Memory via Causal Attribution and Structural Anomaly Detection,N,,memory,persistence-backdoor,,,"Post-hoc detection/defense for an existing named attack (MINJA memory-poisoning); Track-A-adjacent, no new incidental mechanism."
712,e7ce3289d680295e57dc66ad0563924e2006cd3a,"Towards trustworthy agentic AI: a comprehensive survey of safety, robustness, privacy, and system security",N,,tool-output,goal-hijack,,,Survey of trustworthy agentic AI.
713,2d065df525f7619bc44fe5fdf385e1ea9714b822,State Contamination in Memory-Augmented LLM Agents,Y,memory laundering,memory,silent-corruption,,high,"Central, novel finding: toxic/adversarial context compressed into memory summaries by multi-agent systems evades standard toxicity classifiers while preserving hostile framing/conflict signal. Paper explicitly frames this as a non-adversarial-injection incidental failure mode of routine summarization."
720,00ac10c09f78b7e6d2a78698107769825daaab6f,Security Attack and Defense Strategies for Autonomous Agent Frameworks: A Layered Review with OpenClaw as a Case Study,N,,tool-output,goal-hijack,,,Layered security survey using OpenClaw as case study.
721,79c76dd0ec900923e3da16162882d2e5fdca5010,ADEMA: A Knowledge-State Orchestration Architecture for Long-Horizon Knowledge Synthesis with LLMAgents,N,,direct-input,reasoning-corruption,,,"Knowledge-state orchestration architecture; ""knowledge states drift silently"" used generically, not newly characterized."
732,098e604f3b85a07572559811b48a41908b0eb90a,The Evolution of Tool Use in LLM Agents: From Single-Tool Call to Multi-Tool Orchestration,N,,tool-output,reasoning-corruption,,,Survey of tool-use evolution in LLM agents.
735,48c12080143be758aa764aeab6bc2a0edff4a6cc,ChainFuzzer: Greybox Fuzzing for Workflow-Level Multi-Tool Vulnerabilities in LLM Agents,N,,tool-output,goal-hijack,,,"Greybox fuzzing framework for multi-tool vulnerabilities; security/attack-surface paper (Track A adjacent), not an incidental mechanism."
745,5dce672edae58beb9b150718f0f15c13c8a3d4a6,Zombie Agents: Persistent Control of Self-Evolving LLM Agents via Self-Reinforcing Injections,N,,memory,persistence-backdoor,,,"Track A: formalizes an explicit attack (""Zombie Agent"") via self-reinforcing prompt injection in memory; adversarial, not incidental."
749,f032ae5ef799710e966bb60f1999cac4919e536e,From Assistant to Double Agent: Formalizing and Benchmarking Attacks on OpenClaw for Personalized Local AI Agent,N,,tool-output,goal-hijack,,,Track A: benchmark of formalized attacks (IPI) on personalized agents.
791,66cca7a055ee9278d0439654f474cbfa4135aff0,Why So Gullible? Enhancing the Robustness of Retrieval-Augmented Models against Counterfactual Noise,N,,RAG,silent-corruption,,,Studies model brittleness to counterfactual noise among nominally-relevant retrieved documents using an established perturbation methodology (Longpre et al.); measures/extends existing knowledge-conflict robustness rather than naming a new mechanism.
795,452891cc25a448609c1c548f61b25b15b674d26f,"Beyond the Leaderboard: A Synthesis of Tool-Use, Planning, and Reasoning Failures in Large Language Model Agents",N,,tool-output,reasoning-corruption,,,"Narrative synthesis/survey of 27 benchmark papers into a cross-cutting failure taxonomy; aggregates existing named categories, does not itself introduce a new one."
796,a524f9cbffc89db36eb8afae61b3d4e3d33b0ccb,GateMem: Benchmarking Memory Governance in Multi-Principal Shared-Memory Agents,N,,memory,data-exfiltration,,,Benchmark for memory governance/access control in shared-memory agents; no new degradation mechanism (governance/security benchmark).
798,e7fed24b1353cf82d465d68dbda87c2b7243c60a,MemEvoBench: Benchmarking Memory MisEvolution in LLM Agents,Y,memory misevolution,memory,silent-corruption,,medium,"Benchmark paper explicitly naming and characterizing ""memory misevolution"": gradual, self-reinforcing behavioral drift from repeated exposure to misleading information accumulated in persistent memory, distinguished by the authors from prior one-shot poisoning/static hallucination framings."
802,e7eee295a7aba7ce0aef3b83a1b964e6bd10169d,"A Trace-Based Assurance Framework for Agentic AI Orchestration: Contracts, Testing, and Governance",N,,tool-output,goal-hijack,,,"Conceptual assurance/governance framework and failure taxonomy for agent orchestration; proposed methodology, not empirical characterization of a new mechanism."
803,ba241db503ef4fadb2d7ae784070e1ca51f7775e,Risky-Bench: Probing Agentic Safety Risks under Real-World Deployment,N,,tool-output,goal-hijack,,,Benchmark of agentic safety risks across an escalating adversarial-access taxonomy; predominantly Track-A framing.
809,681714a93b33e740993d7f86784a73bffafabaff,MLA-Trust: Benchmarking Trustworthiness of Multimodal LLM Agents in GUI Environments,N,,cross-modal,goal-hijack,,,Trustworthiness benchmark for multimodal GUI agents; no new mechanism.
810,a861c142222dd4f427a841f0b30252eb5ac71d5c,ToLeaP: Rethinking Development of Tool Learning with Large Language Models,N,,tool-metadata,reasoning-corruption,,,Meta-analysis/benchmarking platform for tool learning; no new mechanism.
812,e41482f4ee984f17382f6cdd900df094d928be06,WebArena: A Realistic Web Environment for Building Autonomous Agents,N,,tool-output,reasoning-corruption,,,Capability benchmark (WebArena); no mechanism.
815,90df5be685de81b6b1acde9031629969b9ce2b49,Causal Intervention-Based Memory Selection for Long-Horizon LLM Agents,N,,memory,reasoning-corruption,,,"Memory-selection method; addresses generic topically-related-but-irrelevant/stale/misleading memory noise, not a new named mechanism."
821,1ad06ca131f6e83a0dc16cb42495dd29a98522ad,EquiMem: Calibrating Shared Memory in Multi-Agent Debate via Game-Theoretic Equilibrium,N,,multi-agent,goal-hijack,,,Game-theoretic defense against shared-memory corruption in multi-agent debate under a zero-trust (adversarial) framing; Track-A-adjacent defense paper.
823,770232536a768254a161eb00447650efc8f7f729,Web Agents with World Models: Learning and Leveraging Environment Dynamics in Web Navigation,N,,tool-output,reasoning-corruption,,,"Capability paper on lacking a ""world model"" for predicting action outcomes; not a context-pollution mechanism."
828,d2c1b1a8ac40fbd45e8a91504b1a131f99bad02f,Steering Knowledge Selection Behaviours in LLMs via SAE-Based Representation Engineering,N,,direct-input,silent-corruption,,,"Representation-engineering mitigation for ""context-memory knowledge conflicts"" (established term)."
832,6db401bb9e8afddf06290f64b9d0df7a67719ca3,"Decomposition, Think and Action: Alleviating Hallucinations of Large Language Models with Reasoning–Evidence Interactive Augmented Graph",N,,direct-input,silent-corruption,,,"Hallucination-mitigation via reasoning-evidence graph; ""indiscriminate incorporation of external knowledge may interfere with reasoning"" used generically (distraction-like), no new named mechanism (details truncated)."
833,6eb82be7028ac751e0539f93b84ab15048e41646,To Trust or Not to Trust? Enhancing Large Language Models' Situated Faithfulness to External Contexts,N,,RAG,silent-corruption,,,"Introduces ""situated faithfulness"" as a desired capability (calibrating trust between internal/external knowledge); names a goal, not a failure mechanism distinct from existing over-reliance/knowledge-conflict framing."
835,be26f36f94f9626fc6d04cacdf9e6c664bf9098d,AttriMem: Attribution-Guided Process Feedback for Agent Memory Learning,N,,memory,reasoning-corruption,,,"RL memory-construction credit-assignment paper; technical bottleneck, not a context-degradation mechanism."
836,0193895f410e4a7820626da5db1669a09a0863c0,MemOps: Benchmarking Lifecycle Memory Operations in Long-Horizon Conversations,N,,memory,reasoning-corruption,,,"Benchmark reframing memory evaluation via a lifecycle taxonomy (missing-introduction, wrong-binding, stale-value errors); measures/categorizes known failure types (staleness, binding) rather than introducing a new named mechanism."
837,62e953c40357cfb93027ef8e55b60eacd76bc963,"Compile, Then Page: Executable SOP Programs and a Capability-Gated Runtime for Procedural LLM Agents",N,,direct-input,reasoning-corruption,,,"SOP-compilation architecture; addresses unstructured-prose-following difficulty as an engineering problem, not a named mechanism."
838,e1e40c634d6c9b889e9e6b8e5d81b1ea663e9f97,LongMedBench: Benchmarking Medical Agents for Long-Horizon Clinical Decision-Making,N,,direct-input,reasoning-corruption,,,"Benchmark showing long-context performance decay over EHR history; measures existing long-context degradation, not a new mechanism."
839,b244986a2809a716906dd7b15042c0eba6a58480,From Noisy Traces to Root Causes: Structural Trajectory Analysis and Causal Extraction for Agent Optimization,N,,direct-input,reasoning-corruption,,,"Reflection-based agent-optimization paper; ""context-noise trade-off"" used generically."
840,bef4f8d6f6d71354ded8c081cfbfb2ddb2641b4b,A hierarchical memory architecture overcomes context limits in long-horizon multi-agent computational modeling,N,,memory,reasoning-corruption,,,Hierarchical memory architecture paper; generic context-window bottleneck.
841,dbc167afafe9da38ba1831f7ebbb8100a9c2cd91,PraMem: Practice-derived Experiential Memory for Long-horizon Behavior Prediction,N,,memory,reasoning-corruption,,,"Behavior-prediction memory paper; mentions ""proximal bias"" (a form of recency/position bias) only in passing, not centrally characterized as new."
842,965c0cae557aed318e6305af2749aabb9b6a7051,"Repair the Amplifier, Not the Symptom: Stable World-Model Correction for Agent Rollouts",N,,direct-input,reasoning-corruption,,,Agent-debugging/world-model-correction systems paper.
843,317d2659a28f8444d297f5020315bcdfc2509ab1,FinPersona-Bench: A Benchmark for Longitudinal Psychometric Stability of Autonomous Financial Agents,Y,Mandate Salience Decay (MSD),direct-input,reasoning-corruption,,high,"Central, explicitly formalized and named contribution: progressive erosion of an autonomous agent's adherence to an explicit behavioral mandate as context accumulates over a long deployment horizon, even while individual decisions remain locally coherent."
844,dde71107a875108c5c617bad660e12182d0c7ea1,SmoothAgent: Efficient Long-Horizon LLM-Based Agent Serving with Lookahead Context Engineering,N,,direct-input,reasoning-corruption,,,"Systems/serving-efficiency paper; explicitly references existing ""context rot"" term rather than coining a new one."
846,2c6f684a777a194f3dff92d3014f2887b6bb6880,"Benchmarking Serverless AI Architectures: Modular RAG, Serverless RAG, and Long Context Inference",N,,RAG,reasoning-corruption,,,"Benchmarking paper; references existing ""Lost in the Middle"" phenomenon being mitigated by long-context inference (measures, does not introduce)."
847,31adb0c460abf3be3ef65356cb072548cd586ccc,Learning What Not to Forget: Long-Horizon Agent Memory from a Few Kilobytes of Learning,N,,memory,reasoning-corruption,,,"Context-eviction scoring method; addresses generic load-bearing-detail loss from eviction, not a newly named mechanism."
848,7c0c35da97d46615866416c0ef4a9de646f0a321,SING: Synthetic Intention Graph for Scalable Active Tool Discovery in LLM Agents,N,,tool-metadata,reasoning-corruption,,,"Tool-discovery paper; ""context overload from exhaustive schema injection"" used generically."
849,72b5e6023db3b5af8e8f27f8b4a52bc5f1f32ba7,Context-Aware RL for Agentic and Multimodal LLMs,Y,context unawareness (failure to identify a small decisive piece of evidence within long/complex context),cross-modal,reasoning-corruption,lost in the middle / needle-in-a-haystack,low,Names the failure mode motivating an auxiliary RL objective; overlaps substantially with existing needle-in-a-haystack/distraction framings.
851,d9703eb15de2fde34b699684a5b7d57788cc987e,Organize then Retrieve: Hierarchical Memory Navigation for Efficient Agents,N,,memory,reasoning-corruption,,,Memory-efficiency architecture paper; generic degraded-reasoning-from-growing-context framing.
852,c0600cff00d440b7e7b75b0af4354822d631b306,Decoupling Thought from Speech: Knowledge-Grounded Counterfactual Reasoning for Resilient Multi-Agent Argumentation,N,,multi-agent,reasoning-corruption,,,"Multi-agent debate resilience paper; ""process degradation,"" argument repetition, and role drift under sustained perturbation are described but overlap with already-recognized multi-agent debate drift/degradation issues, not newly named."
853,2cb75b828bdc025aba73a33bec6adc3676f3d9ee,ActiveMem: Distributed Active Memory for Long-Horizon LLM Reasoning,N,,memory,reasoning-corruption,,,Distributed memory architecture paper; generic context-overload-vs-pruning trade-off.
854,842bcb12b16c0f6000fcbc88a140de703bb4acc9,End-to-End Context Compression at Scale,N,,direct-input,reasoning-corruption,,,KV-cache/context compression systems paper; generic lossy-compression framing.
855,e99060a27101a9f42fa5f99b2fa8b974caae558f,SuperMemory-VQA: An Egocentric Visual Question-Answering Benchmark for Long-Horizon Memory,N,,cross-modal,reasoning-corruption,,,Egocentric VQA memory benchmark; generic hallucination/overconfidence under insufficient evidence.
856,a0f82fcf24f6f280ef4ff950bfdd25430a1556f2,When Should Models Change Their Minds? Contextual Belief Management in Large Language Models,Y,Contextual Belief Management (CBM) failure,direct-input,reasoning-corruption,,low,"Paper coins ""Contextual Belief Management"" and measurable sub-failures (Failed Stay/Update/Isolation Rate) for inappropriate belief updates under accumulating long-horizon context; primarily a benchmark/framework, borderline whether distinct enough from knowledge-conflict/ToM framings."
857,28eb59cd5d1043063371af07bf6b14d5d839b5b9,Evolve as a Team: Collaborative Self-Evolution for LLM-based Multi-Agent Systems,N,,multi-agent,reasoning-corruption,,,"Multi-agent self-evolution framework; ""unreliable failure attribution"" from flattening team trajectories is a specific architectural issue, not a general named mechanism."
859,49acf1e90f335385f6f4e5fb384ce47915cdf1c3,MemTrace: Tracing and Attributing Errors in Large Language Model Memory Systems,N,,memory,reasoning-corruption,,,"Diagnostic/debugging framework for memory-system errors; studies generic ""memory-system unreliability,"" not a new named mechanism."
860,653ca4825ad48531899871aa40c59300b6b97823,Context Viewer: Turning LLM Contexts into Analyzable Artifacts,N,,direct-input,reasoning-corruption,,,Visualization/analysis tool paper for LLM contexts (details truncated); no mechanism.
862,7a39d0ccffe0c30b98a3a4b2c1bb82bb0e8c6026,Episodic-Semantic Memory Architecture for Long-Horizon Scientific Agents,Y,"UNNAMED: ""cognitive event horizon"" (context-saturation threshold beyond which accuracy collapses)",memory,reasoning-corruption,context rot / context-window saturation,low,"Paper identifies a discontinuous accuracy-collapse threshold as scientific-agent context saturates (e.g., Full-Context crashing to 0% accuracy at 10,000+ messages); term used descriptively by authors but not deeply formalized as a general phenomenon."
863,4b4b030b311447a05517b0d4d1dfbf25bfa5a4e2,RS-Claw: Progressive Active Tool Exploration via Hierarchical Skill Trees for Remote Sensing Agents,N,,skill,reasoning-corruption,,,"Tool-selection architecture for remote-sensing agents; references existing ""lost in the middle"" attention defocus and ""tool hallucination,"" no new mechanism."
864,fb7d254c08e64bf3d793c837749936a7795bf9b9,CKG-RAG: Enhancing LLM Reasoning in Medical Domain Using Contextual Knowledge Graphs,N,,RAG,silent-corruption,,,"Medical RAG paper; explicitly references and addresses the existing ""lost in the middle"" phenomenon (details truncated)."
865,1a5fc00c4a05e2a3177f4ed08a6aea28bfab15ca,Images in Sentences: Scaling Interleaved Instructions for Unified Visual Generation,N,,cross-modal,reasoning-corruption,,,"Multimodal image-generation capability paper; attribute-binding failures under long-range interleaved instructions, largely outside agent-context-pollution scope."
866,7e6bdf1fc5a332732034a9f34de501e2c0fb737a,PRISM: Pareto-Efficient Retrieval over Intent-Aware Structured Memory for Long-Horizon Agents,N,,memory,reasoning-corruption,,,"Memory retrieval-efficiency architecture; broader-impacts note only, not a characterized mechanism."
867,a562f07f3d017e69d2064d92e994687f2b4b2447,VideoSEAL: Mitigating Evidence Misalignment in Agentic Long Video Understanding by Decoupling Answer Authority,Y,evidence misalignment (agentic long-video QA),cross-modal,silent-corruption,,medium,Central named contribution: agentic long-video-QA systems produce correct-looking answers not actually grounded in the evidence they retrieved/inspected; paper introduces diagnostics (temporal/semantic groundedness) to characterize it.
868,95bb7a742af788471295bb3bd6f12d4f6886dfa1,HAGE: Harnessing Agentic Memory via RL-Driven Weighted Graph Evolution,N,,memory,reasoning-corruption,,,Memory-graph retrieval architecture paper; generic unweighted-edge limitation.
869,60b1976dae93efa008e2ec16262f825321beb88d,On Problems of Implicit Context Compression for Software Engineering Agents,N,,direct-input,reasoning-corruption,,,Negative-result paper: implicit (embedding-based) context compression fails for multi-step agentic SWE tasks despite working single-shot; a specific technique's limitation rather than a general named mechanism.
870,696efe7f1d00aaec2fcdfd990344daaf0694e5b0,EgoMemReason: A Memory-Driven Reasoning Benchmark for Long-Horizon Egocentric Video Understanding,N,,cross-modal,reasoning-corruption,,,"Egocentric long-video memory-reasoning benchmark; generic ""memory-reasoning breakdown."""
872,2f7bf36b85fd4afe2fe42e2df62bf913eef90db4,LLM-Guided Monte Carlo Tree Search over Knowledge Graphs: Composing Mechanistic Explanations for Drug-Disease Pairs,N,,RAG,reasoning-corruption,,,"Biomedical KG reasoning/explanation paper; generic hallucination/confabulation, off-topic domain."
874,db7cc2cb222b7bf8e88a73e792bb231ca8c3f44a,TACT: Mitigating Overthinking and Overacting in Coding Agents via Activation Steering,Y,agent drift (overthinking / overacting),direct-input,reasoning-corruption,,high,Central named contribution: degradation over long agentic coding trajectories manifesting as two characterized sub-modes -- overthinking (redundant re-reasoning over already-known info) and overacting (issuing tool calls without integrating recent observations).
875,a0eb8e5e54e5016131f3122a816ba872f3f5cad1,SpaMEM: Benchmarking Dynamic Spatial Reasoning via Perception-Memory Integration in Embodied Environments,N,,cross-modal,reasoning-corruption,,,"Embodied spatial-reasoning benchmark; static-to-dynamic degradation is a capability gap in current MLLMs, not centrally a context-pollution mechanism."
