row,paper_id,title,has_mechanism,mechanism_name,channel,consequence,is_extension_of,confidence,notes
34,896845aa992d50182227e4eb2883f784e16fe60b,ALCUNA: Large Language Models Meet New Knowledge,N,,RAG,reasoning-corruption,,,"ALCUNA is a benchmark for handling genuinely novel (non-training) knowledge; capability benchmark, not a new degradation mechanism."
35,ddbd8fe782ac98e9c64dd98710687a962195dd9b,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection",N,,RAG,reasoning-corruption,,,Self-RAG is a defense/mitigation method (adaptive retrieval + self-critique); no new mechanism characterized.
36,5bbc2b5aa6c63c6a2cfccf095d6020b063ad47ac,Corrective Retrieval Augmented Generation,N,,RAG,reasoning-corruption,,,CRAG is a defense/mitigation method for imperfect retrieval; no new mechanism characterized.
37,fe2dd4ac8bb14c622a890482384c9e1136479bf6,Astute RAG: Overcoming Imperfect Retrieval Augmentation and Knowledge Conflicts for Large Language Models,N,,RAG,reasoning-corruption,,,"Astute RAG is primarily a defense method; discusses existing ""knowledge conflict"" (internal vs external) as motivation, not a new mechanism."
237,363ebeb72b02ba4261d92957df0c0e53f438297f,AgentLAB: Benchmarking LLM Agents against Long-Horizon Attacks,N,,tool-output,reasoning-corruption,,,AgentLAB is an adversarial (Track A) benchmark of long-horizon attacks with a formal red-teaming threat model; out of scope for incidental Track B.
264,a776dcb6b3c4d50cd149ff39c9ac18de31572b95,NeuroGenPoisoning: Neuron-Guided Attacks on Retrieval-Augmented Generation of LLM via Genetic Optimization of External Knowledge,N,,RAG,goal-hijack,,,NeuroGenPoisoning is a Track A adversarial RAG poisoning attack (genetic optimization of malicious knowledge); not incidental.
303,03ebfea35124ed27f7f954332794209a96fff7c5,Game-Theoretic Multi-Agent Control for Robust Contextual Reasoning in LLMs,N,,multi-agent,reasoning-corruption,,,"Game-Theoretic Multi-Agent Control paper has an explicit adaptive-adversary threat model (prompt injection / context poisoning defense); Track A adjacent, not incidental."
304,6935b713ca7e42dfa2ec93b0adacc16b291edc1d,MCP-Universe: Benchmarking Large Language Models with Real-World Model Context Protocol Servers,N,,tool-metadata,goal-hijack,,,"MCP-Universe is a non-adversarial capability benchmark; failure modes (context-window overflow, unfamiliar tool spaces) are generic, not a newly named mechanism."
305,f50ceb29f76b62dc70909327d8a5f84ed4584b2e,"The Tool Decathlon: Benchmarking Language Agents for Diverse, Realistic, and Long-Horizon Task Execution",N,,tool-output,reasoning-corruption,,,"Tool Decathlon is a capability benchmark; failure modes (hallucinated tool names, tool errors) are generic agentic failures, not a new named mechanism."
308,08511b5e1be93152829e91f34907e586b787a129,Context Rot: Why MCP is Breaking in Production and How the Skills Architecture Fixes It,Y,context rot,tool-metadata,reasoning-corruption,context rot,low,"Formally designates ""context rot"" applied to MCP production deployments; tech_summary/key_result fields empty (thin evidence, possibly non-peer-reviewed), and largely restates existing ""context rot"" framing rather than introducing something new."
379,1a9e1c18c9353aa1558e5aebd9816f7b94e44f57,Classifier Context Rot: Monitor Performance Degrades with Context Length,Y,classifier context rot,direct-input,reasoning-corruption,context rot,high,"Distinct, specifically named and characterized phenomenon: LLM-as-monitor recall for dangerous agent actions degrades with transcript length, distinct domain (AI-control monitoring) from standard context rot."
380,50c89ae2d4c1fda4b1b425055b9617ebf4feab87,The Y-Combinator for LLMs: Solving Long-Context Rot with λ-Calculus,N,,direct-input,reasoning-corruption,,,"Y-Combinator for LLMs (lambda-RLM) is a systems/defense paper (recursive language models) addressing existing ""context rot""; contribution is the fix."
381,ef67e45338e8ed20907ff2eaae7a56ec38bf287d,RhinoInsight: Improving Deep Research through Control Mechanisms for Model Behavior and Context,N,,tool-output,reasoning-corruption,,,RhinoInsight is a deep-research defense/framework addressing error accumulation and context rot; contribution is the fix.
382,51b7d4fe4eba51f6ac91512ad75894a5a562ac92,LOCA-bench: Benchmarking Language Agents Under Controllable and Extreme Context Growth,N,,direct-input,reasoning-corruption,,,"LOCA-bench is a benchmark measuring context rot in agentic long-horizon settings using the existing ""context rot"" framing; does not newly characterize the mechanism."
383,883670bdd662f19ef5822b20d6136f75e8de1f3b,ARC: Active and Reflection-driven Context Management for Long-Horizon Information Seeking Agents,N,,direct-input,reasoning-corruption,,,ARC (Active/Reflection-driven Context management) is a defense framework addressing context rot; contribution is the fix.
384,ba6ab8a23f01c2c3b56672c569a71eb5d65f5be2,G-MemLLM: Gated Latent Memory Augmentation for Long-Context Reasoning in Large Language Models,N,,memory,reasoning-corruption,,,G-MemLLM is a memory-augmentation architecture (defense) addressing context rot/dilution using existing terms.
385,6bcfbae923dac7e196cdf1230b9328e5556c8ef6,Positional Failures in Long-Context LLMs: A Blind Spot in Reasoning Benchmarks,N,,direct-input,reasoning-corruption,,,Benchmark-methodology/audit paper showing long-context reasoning benchmarks fail to control for position; critiques evaluation practice rather than characterizing a new degradation mechanism (relates to lost-in-the-middle/position bias).
386,8408df2d1326e6fe8713e680c24e2fd40ea0c7d7,United Minds or Isolated Agents? Exploring Coordination of LLMs under Cognitive Load Theory,Y,extraneous cognitive load (context engineering overload),multi-agent,reasoning-corruption,context rot,low,Draws a cognitive-load-theory analogy to explain context rot (intrinsic vs extraneous load); framing is secondary to the paper's main contribution (CoThinker multi-agent method).
387,53d7cd998e6ec4794422688c0a2c3e2cd70025d2,Document-Level Numerical Reasoning across Single and Multiple Tables in Financial Reports,N,,direct-input,reasoning-corruption,,,FinLongDocQA is a benchmark paper for financial numerical reasoning; mentions context rot as motivation only.
388,1447859940005bfcdc2156673cf7f1bab455a0cf,ClinQueryAgent: A Conversational Agent for Population Health Management,N,,tool-output,reasoning-corruption,,,"ClinQueryAgent is a deployed clinical NLP system paper; mentions context rot as motivation, contribution is system architecture."
389,arxiv:2607.17937,How Agent Skills Fail under Long Contexts: A White-Box Study in Code Auditing,Y,UNNAMED: agent-skill requirement decay under long trajectories (skill/requirement fade),skill,reasoning-corruption,context rot,medium,"White-box study classifying where skill-following fails (lost requirements, editing drift, failed checking) over long context regardless of content relevance, similar to row 28's pure-length effect but in the agent-skill domain."
390,arxiv:2604.27960,LLMs as ASP Programmers: Self-Correction Enables Task-Agnostic Nonmonotonic Reasoning,N,,direct-input,reasoning-corruption,,,LLM+ASP is a neuro-symbolic defense/fix paper; mentions context rot on high-complexity problems only as motivation.
391,47878fc606ace61368776bf9407466cc19ea7a9b,Lost in the Middle: An Emergent Property from Information Retrieval Demands in LLMs,Y,mechanistic explanation of lost-in-the-middle (training-induced primacy/recency from retrieval-demand adaptation),direct-input,reasoning-corruption,lost in the middle,low,"Borderline case per instructions: proposes LITM is an emergent adaptation to pretraining information-retrieval demands (primacy/recency), not an architectural flaw; mechanistic explanation of an existing phenomenon."
392,e8894bb4a4e42863ece226b8b6362ff793db91ce,Lost in the Evidence? Reproducing Document Position and Context Size Effects in RAG,N,,RAG,reasoning-corruption,,,"Reproducibility study of RAG position/context-size effects; finds topic-sampling variance is a bigger confound than ordering strategy. Methodological/negative finding about an existing phenomenon (lost in the middle), not a new mechanism."
393,arxiv:2607.06160,LongCrafter: Towards Diverse Long-Context Understanding via Evidence-Graph-Guided Instruction Synthesis,N,,direct-input,reasoning-corruption,,,"LongCrafter is an SFT data-synthesis paper for long-context training; mentions unfaithful reasoning as one addressed failure mode, not a new mechanism."
394,arxiv:2604.24512,Beyond the Attention Stability Boundary: Agentic Self-Synthesizing Reasoning Protocols,Y,Attention Latch,direct-input,reasoning-corruption,lost in the middle,high,Explicitly identified and formalized new named failure mode: cumulative probabilistic weight of historical context overrides mid-task contradictory updates in decoder-only agents (framed as manifestation of information over-squashing).
395,arxiv:2604.11462,Escaping the Context Bottleneck: Active Context Curation for LLM Agents via Reinforcement Learning,N,,direct-input,reasoning-corruption,,,"ActiveContext (ContextCurator) is an RL-trained context-management defense using existing ""context bottleneck""/""lost-in-the-middle"" terms."
396,arxiv:2604.05190,Retrieval-Augmented LLMs for Evidence Localization in Clinical Trial Recruitment from Longitudinal EHR Narratives,N,,RAG,reasoning-corruption,,,"Clinical trial recruitment application paper using existing ""lost in the middle"" framing; not new mechanism."
397,arxiv:2603.20578,Context Cartography: Toward Structured Governance of Contextual Space in Large Language Model Systems,N,,direct-input,reasoning-corruption,,,"Context Cartography is a conceptual/architectural governance framework using existing framings (lost in the middle, long-distance relational degradation); not new mechanism."
398,arxiv:2602.14188,GPT-5 vs Other LLMs in Long Short-Context Performance,N,,direct-input,reasoning-corruption,,,"GPT-5 vs Other LLMs benchmark on ""long short-context"" (many discrete facts) degradation; measures existing type of long-context failure without newly characterizing a mechanism."
399,arxiv:2602.13830,A Tale of Two Graphs: Separating Knowledge Exploration from Outline Structure for Open-Ended Deep Research,N,,direct-input,reasoning-corruption,,,"DualGraph is a memory-architecture defense for deep research agents using existing ""lost-in-the-middle"" framing."
400,arxiv:2601.12906,Gated Differentiable Working Memory for Long-Context Language Modeling,N,,memory,reasoning-corruption,,,"Gated Differentiable Working Memory is a test-time-adaptation defense method using existing ""lost in the middle"" framing."
401,arxiv:2601.15311,Aeon: High-Performance Neuro-Symbolic Memory Management for Long-Horizon LLM Agents,N,,memory,reasoning-corruption,,,"Aeon coins the term Vector Haze (semantically similar but episodically unrelated retrieval) as motivation, but this is not empirically characterized or centrally studied (the paper's results concern compression/latency); primarily a systems/memory defense paper."
402,arxiv:2512.14313,Dynamic Context Selection for Retrieval-Augmented Generation: Mitigating Distractors and Positional Bias,N,,RAG,reasoning-corruption,,,"Dynamic Context Selection empirically quantifies two well-known failure modes (distractors, lost-in-the-middle) but frames them as already ""well-known""; measurement/defense paper, not new mechanism."
403,arxiv:2510.12668,Understanding Parametric Knowledge Injection in Retrieval-Augmented Generation,N,,RAG,reasoning-corruption,,,Understanding Parametric Knowledge Injection is a mechanistic reassessment of parametric RAG performance claims; not centrally about a degradation mechanism.
404,arxiv:2509.23263,GUI-PRA: Process Reward Agent for GUI Tasks,N,,tool-output,reasoning-corruption,,,"GUI-PRA applies existing ""lost in the middle"" framing to GUI process-reward supervision; defense/method paper."
405,arxiv:2509.21865,Beyond RAG vs. Long-Context: Learning Distraction-Aware Retrieval for Efficient Knowledge Grounding,N,,RAG,reasoning-corruption,,,LDAR (distraction-aware retrieval) is a defense/efficiency method using existing lost-in-the-middle/distraction framings.
406,arxiv:2509.06436,Tree of Agents: Improving Long-Context Capabilities of Large Language Models through Multi-Perspective Reasoning,N,,multi-agent,reasoning-corruption,,,"Tree of Agents is a multi-agent defense method addressing existing ""lost in the middle"" issue."
407,arxiv:2508.07479,Positional Biases Shift as Inputs Approach Context Window Limits,Y,mechanistic refinement of lost-in-the-middle (threshold-dependent onset at ~50% of context window; effect vanishes near window limits),direct-input,reasoning-corruption,lost in the middle,low,"Borderline mechanistic-explanation case per instructions: shows LiM effect exists only below a relative-length threshold, explaining why prior findings were inconsistent (absolute vs relative position framing)."
408,arxiv:2507.14849,Beyond Isolated Capabilities: Bridging Long CoT Reasoning and Long-Context Understanding,N,,direct-input,reasoning-corruption,,,"Studies effect of reasoning distillation on long-context retrieval ability (improvement, not degradation); not a pollution mechanism."
409,arxiv:2505.21859,Principled Content Selection to Generate Diverse and Personalized Multi-Document Summaries,N,,direct-input,reasoning-corruption,,,"Multi-document diversity summarization method using existing ""lost in the middle"" framing as motivation; defense/method paper."
410,arxiv:2505.18092,QwenLong-CPRS: Towards $\infty$-LLMs with Dynamic Context Optimization,N,,direct-input,reasoning-corruption,,,"QwenLong-CPRS is a context-compression defense framework addressing existing ""lost in the middle"" framing."
411,arxiv:2505.10570,LongFuncEval: Measuring the effectiveness of long context models for function calling,N,,tool-metadata,reasoning-corruption,,,"LongFuncEval is a benchmark measuring long-context tool-calling degradation (large catalogs, long responses, multi-turn history) using existing framings; benchmark, not new mechanism."
412,arxiv:2501.16952,Multiple Abstraction Level Retrieve Augment Generation,N,,RAG,reasoning-corruption,,,"MAL-RAG is a multi-granularity retrieval defense method addressing existing ""lost in the middle"" problem."
413,arxiv:2501.07523,Parallel Key-Value Cache Fusion for Position Invariant RAG,N,,RAG,reasoning-corruption,,,"KV-Fusion is a defense architecture for position-invariant RAG addressing existing ""lost in the middle"" phenomenon."
414,arxiv:2410.18050,LongRAG: A Dual-Perspective Retrieval-Augmented Generation Paradigm for Long-Context Question Answering,N,,RAG,reasoning-corruption,,,"LongRAG is a defense/method paper addressing existing ""lost in the middle"" issue in RAG chunking."
415,arxiv:2408.10497,QUITO-X: A New Perspective on Context Compression from the Information Bottleneck Theory,N,,direct-input,reasoning-corruption,,,"QUITO-X is a context-compression defense method addressing existing ""lost in the middle"" problem."
416,arxiv:2407.07799,Attribute or Abstain: Large Language Models as Long Document Assistants,N,,direct-input,silent-corruption,,,"Attribution/evaluation-methodology paper for long document assistants; hallucination is motivating context, not new pollution mechanism."
417,arxiv:2406.02536,Mitigate Position Bias in Large Language Models via Scaling a Single Dimension,Y,"mechanistic explanation of lost-in-the-middle (positional hidden-state channels, not just position embeddings)",direct-input,reasoning-corruption,lost in the middle,low,Borderline mechanistic-explanation case matching the instructions' own example almost verbatim: identifies specific hidden-state channels (not position embeddings) as the mechanistic cause of position bias.
418,arxiv:2402.11550,LongAgent: Scaling Language Models to 128k Context through Multi-Agent Collaboration,N,,multi-agent,reasoning-corruption,,,"LongAgent is a multi-agent defense method addressing existing ""lost in the middle"" phenomenon."
419,5168d3595acaf7528039ee542eb57d0dc3ad2fd8,How Easily do Irrelevant Inputs Skew the Responses of Large Language Models?,Y,distraction by irrelevant context (graded by semantic relatedness),RAG,reasoning-corruption,distraction by irrelevant context,low,Extends distraction/irrelevant-context framing with a graded taxonomy by semantic relatedness (Unrelated/Partially Related/Related); shows semantically-related irrelevant info causes far more distraction than unrelated info.
420,bed6e0c90748faf13e8e091d1ce420bf0d2256df,COMPASS: Enhancing Agent Long-Horizon Reasoning with Evolving Context,N,,direct-input,reasoning-corruption,,,"COMPASS is a hierarchical agent defense framework; failure modes (overlooking evidence, distraction) are existing framings, not newly characterized."
421,80be833d90a2e123c18958d7106f31f205a2e364,CUB: Benchmarking Context Utilisation Techniques for Language Models,N,,direct-input,reasoning-corruption,,,"CUB is a benchmark comparing existing context-utilisation manipulation techniques against known failure modes (distraction, knowledge conflict); benchmark, not new mechanism."
422,e660c122a8299bb5613ba7a0ace335c197c54371,END: Early Noise Dropping for Efficient and Effective Context Denoising,N,,direct-input,reasoning-corruption,,,"END is a context-denoising defense method; motivated by existing distraction framing, contribution is the fix (early-layer noise probe)."
423,483d7ee601ee95bfe80e6924560473bf76072173,Differential Transformer,N,,direct-input,reasoning-corruption,,,"Differential Transformer is an architecture fix motivated by existing 'attention noise' over-allocation to irrelevant context; contribution is the architectural fix, not a new mechanism."
424,b345933a16c48404a38f8c1dc2c9ea03968dc0e7,Activation-aware Probe-Query: Effective Key-Value Retrieval for Long-Context LLMs Inference,N,,direct-input,reasoning-corruption,,,ActQKV is a KV-cache retrieval efficiency method; not a mechanism paper.
425,febb0d38c39219f39d5325345882b5148a84b79e,When Refusals Fail: Unstable Safety Mechanisms in Long-Context LLM Agents,Y,UNNAMED: long-context safety/refusal degradation in agents,direct-input,reasoning-corruption,context rot,medium,"Studies how safety-alignment (refusal) and task capability jointly degrade with context length in agentic settings, distinct from generic accuracy degradation; capability degrades well before declared max context length."
426,6792cb92e343acbf1ccb5edaf59647eb0b6e88c9,TRACE: Trajectory Risk-Aware Compression for Long-Horizon Agent Safety,N,,direct-input,reasoning-corruption,,,"TRACE is a defensive trajectory-compression detector for long-horizon agent safety; related to classifier context rot (row 379) but contribution is the detection method, not new mechanism characterization."
427,6ca29e9438224626cafa50f121c22244f35575c0,Scaling Long-Horizon LLM Agent via Context-Folding,N,,direct-input,reasoning-corruption,,,Context-Folding is a defense/context-management architecture; addresses generic context-length scaling degradation.
428,fc329a561cad5ab623241bd512170a1021ae14e0,Scaling LLM Multi-turn RL with End-to-end Summarization-based Context Management,N,,direct-input,reasoning-corruption,,,SUPO is an RL training-methodology paper using summarization-based context management (defense); addresses generic context bottleneck.
429,bd3cce65cef8540936d79a7a80c585c6e94005f8,Curriculum Guided Massive Multi Agent System Solving For Robust Long Horizon Tasks,N,,multi-agent,reasoning-corruption,,,"Curriculum-guided massive multi-agent system is a defense/systems paper; mentions generic error compounding, not a new named mechanism."
430,dfdcaace7d72005e045d511d37d5a3eb4627420c,Learning Agent-Compatible Context Management for Long-Horizon Tasks,N,,direct-input,reasoning-corruption,,,AdaCoM is an adaptive context-management defense framework; addresses generic long-context degradation.
431,d4cc36f9d0a6674c77c91a3c88dc2c71aa4e6340,IEI-TIA: Industrial Embodied Intelligence Trustworthy Interpretable Agent for Robotic Long-Horizon and Repetitive Tasks,N,,tool-output,reasoning-corruption,,,"IEI-TIA fields are empty (no tech_summary/key_result/threat_model); appears to be a trustworthy/interpretable-agent architecture (defense) paper for robotics, not a mechanism paper."
432,91cea1d58c91edb5897dc3659f7320eef2f9f6c5,SearchArt: Training Long-Horizon Search Agent with Scalable Synthetic and Verified Task,N,,tool-output,reasoning-corruption,,,"SearchArt is a data-synthesis/training framework paper, not a mechanism paper."
434,9c8c4c9afa5759716a6bfe1d9ec4c32ba046b7b0,AgentSwing: Adaptive Parallel Context Management Routing for Long-Horizon Web Agents,N,,direct-input,reasoning-corruption,,,AgentSwing is an adaptive context-management-routing defense framework; addresses generic context degradation.
435,7ab5357f7f8079321c8789952ba72bf3f7e53555,Alignment in Time: Peak-Aware Orchestration for Long-Horizon Agentic Systems,N,,direct-input,reasoning-corruption,,,"APEMO is a runtime scheduling/orchestration layer (defense) inspired by the psychological peak-end rule; addresses generic trajectory instability, not a newly characterized incidental mechanism."
436,19291a8feb3169f43b0a295f876390b50f33942d,From Memory to Skills: Evidence-Grounded Co-Evolution Governance for Long-Horizon LLM Agents,N,,memory,reasoning-corruption,,,MSCE is a memory/skill co-evolution defense framework; addresses generic passive-memory limitations.
438,362f97f9734e7dc1c20ac52f21dcbdb4be119c7e,Scoped Verification for Reliable Long-Horizon Agentic Context Evolution under Distribution Shift,N,,direct-input,reasoning-corruption,,,GRACE is a graph-regularized context-evolution defense framework for persistent system instructions; addresses generic accumulation/interaction problems in evolving instructions (relates to context drift/rot but is a fix paper).
439,1217aaf8b6fda0bc84a345feb611ce5b0edddd7a,CoCortex: A Memory Governance Framework for Reliable Long-Horizon LLM Agents,N,,memory,reasoning-corruption,,,"CoCortex fields are empty; appears to be a Bayesian memory-governance defense framework, not a mechanism paper."
440,35812b4a3fba1211b4e6177c3c27c931d83859f0,Agent Delivery Engineering Predictive Reliability Framework,N,,tool-output,reasoning-corruption,,,"ADE-PRF is a production monitoring/reliability framework; builds on the same authors' prior (not-in-batch) concepts 'Channel Fracture' and 'Silent Failure', but this paper itself is a monitoring/forecasting tool, not the origin of those mechanisms."
443,11b047630b085273b8fe43856e6098b383d84879,Distributed Agent System: Fault-Tolerant Collaboration Among Embodied Agents,N,,multi-agent,reasoning-corruption,,,"Distributed Agent System is a conceptual position paper (no experiments) proposing fault-tolerant multi-agent architecture; mentions generic cumulative error propagation, not a new mechanism."
445,21e45f760e4f375bf0d68e41a4a9b71c46594b62,Trust-Aware Runtime Verification for Autonomous LLM Agent Systems,N,,tool-output,reasoning-corruption,,,"Trust-Aware Runtime Verification fields are empty; appears to be a verification/defense framework mentioning generic 'semantic drift' and 'error propagation', not centrally characterizing a new mechanism."
446,9e931a1be5825d35226358e83ec8c84456c8ddde,A Multi-Agent Framework for Zero-Dimensional Reduced-Order Model Planning,N,,multi-agent,reasoning-corruption,,,"Z-COPA is an engineering-design multi-agent application paper, not a mechanism paper."
447,230554c21f19584a1375b7537b28300dc22e295d,STAR-PólyaMath: Multi-Agent Reasoning under Persistent Meta-Strategic Supervision,N,,multi-agent,reasoning-corruption,,,"STAR-PolyaMath is a multi-agent math-reasoning framework (defense) targeting known reliability issues (hallucination accumulation, memory fragmentation); not a new named mechanism."
450,a1057354e5a858114d9da1e842679ed44f690c6a,Agentic Test-Time Scaling for WebAgents,N,,tool-output,reasoning-corruption,,,"CATTS is a test-time-scaling empirical study for web agents; studies error compounding and diminishing returns of majority voting, not a newly named pollution mechanism."
451,f5080780c07f79cd6711b6eb13aae1859bd5cef9,DR-Venus: Towards Frontier Edge-Scale Deep Research Agents with Only 10K Open Data,N,,tool-output,reasoning-corruption,,,"DR-Venus is a training-recipe paper for small deep-research agents, not a mechanism paper."
452,b54174d473f1d812411e5991c13e8277152ce3b7,"BENCHMARKING AUTONOMOUS SOFTWARE DEVELOPMENT AGENTS: TASKS, METRICS, AND FAILURE MODES",N,,tool-output,reasoning-corruption,,,"DevAgentBench fields are empty; a benchmark suite paper for autonomous software agents, not a mechanism paper."
453,6e2cbad24bc36963f2a46cc5b115d8118b908671,MANTRA: Synthesizing SMT-Validated Compliance Benchmarks for Tool-Using LLM Agents,N,,tool-metadata,reasoning-corruption,,,"MANTRA is a benchmark-generation framework for procedural compliance checking, not a mechanism paper."
455,deb17f7de68c3a8a2d94033199775805c9d3222a,GPA: Learning GUI Process Automation from Demonstrations,N,,tool-output,reasoning-corruption,,,"GPA is a demonstration-based GUI RPA system (defense) addressing known VLM-agent non-determinism/hallucination, not a new mechanism."
456,9d6d4223b68748fe570f21ef8f3e174d2e6b4684,OrchMAS: Orchestrated Reasoning with Multi Collaborative Heterogeneous Scientific Expert Structured Agents,N,,multi-agent,reasoning-corruption,,,"OrchMAS is a multi-agent orchestration framework (defense); mentions inability to revise diverging decisions but this is generic, not a new named mechanism."
457,fb29863cb5ac9458f84db8430d69727acf115361,Designing and Verifying Agentic AI Systems through Structural Architecture and State Analysis,N,,tool-output,reasoning-corruption,,,"Fields are empty (Designing and Verifying Agentic AI Systems); appears to be a structural-architecture/verification paper, not a mechanism paper."
458,22a9a24c625921d705506f798e91bb978d240ea2,Is Deep Research Reliable? Misleading Knowledge Induces False Conclusions,N,,RAG,silent-corruption,,,"Studies false-conclusion propagation from deliberately constructed 'misleading knowledge' documents (with controlled institutional-authority cues) injected into deep-research workflows; this is closer to a Track A adversarial/crafted-content study (researcher-constructed deceptive documents) than a naturally-occurring incidental phenomenon, despite being framed as a reliability study. Flagging for possible Track A cross-check rather than as a Track B mechanism."
460,a7fb4245b412f0e54ec26d5973f041d52c83c0ad,HiAgent: Hierarchical Working Memory Management for Solving Long-Horizon Agent Tasks with Large Language Model,N,,memory,reasoning-corruption,,,"HiAgent is a hierarchical working-memory defense framework; motivated by generic redundancy-driven context-efficiency degradation, not a new named mechanism."
461,e8da028dac974c26a614f8322b67f86aaa879073,The Cognitive Bandwidth Bottleneck: Shifting Long-Horizon Agent from Planning with Actions to Planning with Schemas,Y,cognitive bandwidth bottleneck (action-space scaling),direct-input,reasoning-corruption,,medium,"Identifies and names a specific mechanism: as environmental action-space size scales combinatorially, planning-with-actions degrades and there is a representation-choice inflection point relative to planning-with-schemas; distinctly framed as a named bottleneck."
462,4218729e1552df1b35801c81894b7652e57cefef,"WildClawBench: A Benchmark for Real-World, Long-Horizon Agent Evaluation",N,,tool-output,reasoning-corruption,,,WildClawBench is a general capability benchmark for long-horizon agents; not a mechanism paper.
463,7dd622ba79b2a71fc8954f7c829b5f2ed387a22b,OCR-Memory: Optical Context Retrieval for Long-Horizon Agent Memory,N,,memory,reasoning-corruption,,,"OCR-Memory is a memory-architecture defense (visual encoding of trajectories); addresses generic text-context-budget trade-off, not a new mechanism."
465,dfd55d856ccb37a4599f52a31fb1e6d109b168db,MINTEval: Evaluating Memory under Multi-Target Interference in Long-Horizon Agent Systems,Y,multi-target memory interference,memory,silent-corruption,knowledge conflict,medium,"Introduces a benchmark specifically characterizing destructive interference among multiple evolving/updating memories in long-horizon agents (distinct from static independent recall), a distinct failure mode from simple parametric-vs-retrieved conflict."
467,f6352c670c573240d310df585d0cf3770054740c,Learning on the Job: An Experience-Driven Self-Evolving Agent for Long-Horizon Tasks,N,,memory,reasoning-corruption,,,"MUSE is a self-evolving agent-memory framework (defense) addressing generic test-time-static limitation, not a new mechanism."
468,e90f31290cb2cba80abdaec108ebe764b2440a61,REMAC: Self-Reflective and Self-Evolving Multi-Agent Collaboration for Long-Horizon Robot Manipulation,N,,multi-agent,reasoning-corruption,,,"REMAC is a multi-agent robotic planning framework (defense) addressing generic environmental-constraint neglect, not a new mechanism."
469,10ab7d6caefec453d36640c7a839ed2080a2d060,Beyond Ten Turns: Unlocking Long-Horizon Agentic Search with Large-Scale Asynchronous RL,N,,tool-output,reasoning-corruption,,,"ASearcher is an RL training-methodology paper for search agents, not a mechanism paper."
470,8c1138cba2032c79da540321e04890e9f7fe6b2c,LaMMA-P: Generalizable Multi-Agent Long-Horizon Task Allocation and Planning with LM-Driven PDDL Planner,N,,multi-agent,reasoning-corruption,,,"LaMMA-P is a multi-robot task-planning framework (defense), not a mechanism paper."
