row,paper_id,title,has_technique,technique_name,channel,consequence,is_extension_of,confidence,notes
68,0ba8da7bad04313c39bb9cb45d946645b22c6872,MUZZLE: Adaptive Agentic Red-Teaming of Web Agents Against Indirect Prompt Injection Attacks,Y,MUZZLE,tool-output,goal-hijack,,high,"Fully automated multi-agent red-teaming framework discovering IPI attacks against web agents end-to-end in sandboxed cross-app environment; automatically identifies/ranks vulnerable injection surfaces, novel attack-discovery methodology vs prior manual/template-based approaches."
69,35a7fa6cf6c4063ac233e20670e001b13f632093,Architecting Secure AI Agents: Perspectives on System-Level Defenses Against Indirect Prompt Injection Attacks,N,,tool-output,goal-hijack,,high,"Position/perspective paper proposing a reference system architecture for defenses (orchestrator/approver/executor/policy enforcer), not an attack."
70,dfc9d7ad54c197d239cb473f3ae7a64ab50d0e90,Embedding-Based Detection of Indirect Prompt Injection Attacks in Large Language Models Using Semantic Context Analysis,N,,tool-output,goal-hijack,,high,"Embedding-based detection defense against IPI via semantic context analysis, not a new attack."
71,9a559291c36be0ac35a9db4682d18acc6ccff2d3,ICON: Indirect Prompt Injection Defense for Agents based on Inference-Time Correction,N,,tool-output,goal-hijack,,high,"ICON is an inference-time-correction defense against adaptive IPI attacks, not a new attack."
72,60d1a692707848767aba41b5d83205478c191f4d,PlanGuard: Defending Agents against Indirect Prompt Injection via Planning-based Consistency Verification,N,,tool-output,goal-hijack,,high,"PlanGuard is a training-free planning-consistency-verification defense against IPI, not a new attack."
73,f1bde8917211210507fb6a2030f4c48c5989d464,The Cognitive Firewall:Securing Browser Based AI Agents Against Indirect Prompt Injection Via Hybrid Edge Cloud Defense,N,,tool-output,goal-hijack,,high,"Cognitive Firewall is a split edge-cloud defense architecture against IPI for browser agents, not a new attack."
74,d644eff50a867dae45a77b31147cfe011e53977d,"Indirect Prompt Injection in the Wild: An Empirical Study of Prevalence, Techniques, and Objectives",N,,tool-output,goal-hijack,,high,"Large-scale empirical measurement study of IPI prevalence 'in the wild' on the live web; measurement/prevalence study, not a new attack technique."
75,c62428adcf5a3dfd0e1f003a3102ffdf8b9eaa5e,When AUC 0.998 Is Not Enough: A Candidate Evaluation Protocol for Hidden-State Probes of Indirect Prompt Injection in Multimodal Computer-Use Agents,N,,tool-output,goal-hijack,,high,Methodological critique of hidden-state-probe evaluation protocols for IPI detection in multimodal computer-use agents; not an attack technique.
76,7eccc944154275a6ecd2f7cc379a3798ff855a30,IterInject: Indirect Prompt Injection Against LLM Agents via Feedback-Guided Iterative Optimization,Y,IterInject,tool-output,goal-hijack,,high,"Feedback-guided iterative optimization framework for IPI attacks that closes the loop between injection, diagnosis, and refinement, addressing limitations of static handcrafted payloads and unstructured adaptive methods."
77,91f38621f74c7b4ffb6db78e008e7d2ba5c9bd9d,IPI-proxy: An Intercepting Proxy for Red-Teaming Web-Browsing AI Agents Against Indirect Prompt Injection,N,,tool-output,goal-hijack,,low,IPI-proxy is an open-source red-teaming toolkit (intercepting proxy) enabling IPI testing of web agents under realistic domain-whitelisting constraints; primarily testing infrastructure rather than a novel attack-generation algorithm -- borderline vs. AgentVigil/MUZZLE/IterInject which propose novel attack-discovery algorithms.
78,f6bc99088f51e29efb6af663a30ab26f74063309,Weaponizing Words: Direct & Indirect Prompt Injection Attacks on LLM,N,,direct-input,goal-hijack,,high,"Conference tutorial reproducing known demos (EmailGPT direct injection, EchoLeak indirect injection); no new attack technique."
79,deb43c5a66d7188b4a83af3dc6d9b1b7a02fc302,Indirect prompt injection in large language models,N,,tool-output,goal-hijack,,high,Early/general paper applying existing indirect prompt injection concept to a CV/resume-screening case study; no new attack method.
80,cf65754b11167535b5118d268bf0ead49e8c5cc3,CodeSentinel: A Three-Layer Defense Against Indirect Prompt Injection in Code Contexts,N,,tool-output,goal-hijack,,high,"CodeSentinel is a three-layer CST-based sanitizer defense against IPI in code contexts, not a new attack."
81,a882a5686912be056ef2a5ba091022193eba801b,LogJack: Indirect Prompt Injection Through Cloud Logs Against LLM Debugging Agents,Y,LogJack,tool-output,goal-hijack,,high,"Studies a previously unevaluated IPI attack surface: cloud telemetry/log data (CloudWatch, SSM, CloudTrail, CI/CD, Lambda logs) consumed by LLM cloud-debugging agents; attacker embeds payload in application error text without special cloud privileges."
82,f3dd32f7ab427e5b4998fe451aabb929a324755c,Cascading Instruction Influence Indirect Prompt Injection in Hierarchical Multi-Agent Systems,N,,multi-agent,goal-hijack,,low,"Empirical/statistical study of IPI propagation ('cascading instruction influence') through three-tier hierarchical multi-agent command chains vs. centralized topologies (reports Cohen's d effect size); primarily a measurement study of an existing attack's propagation dynamics rather than a new attack algorithm, though the propagation phenomenon itself could be considered a named effect."
83,82b30eeb4c7018d9f8bdf5acb5149f180e1bbc70,MIPIAD: Multilingual Indirect Prompt Injection Attack Defense with Qwen - TF-IDF Hybrid and Meta-Ensemble Learning,N,,tool-output,goal-hijack,,high,"MIPIAD is a multilingual (English/Bangla) IPI detection defense, not a new attack."
84,4e959fca0e4d91c84b708457efa08b0f729a05ef,LivePI: More Realistic Benchmarking of Agents Against Indirect Prompt Injection,N,,tool-output,goal-hijack,,high,"LivePI is a realistic benchmark for IPI risk against real tool-using agents (OpenClaw), not a new attack technique."
85,6293d5aa830092dc26f6d093f5b773bb524498dd,DualView: Preventing Indirect Prompt Injection in Personal AI Agents,N,,tool-output,goal-hijack,,high,"DualView extends the Dual-LLM defense pattern system-wide, a defense not a new attack."
86,019425fd6aa98a948c6890207f4b01d9b1451480,NetInjectBench: Benchmarking Indirect Prompt Injection in Tool-Using Large Language Model Agents for Network Operations,N,,tool-output,goal-hijack,,high,"NetInjectBench is a benchmark for IPI risk in network-operations agent settings, not a new attack."
87,09377c53e8bff67f1d8f1d778e529736a878f338,ChatInject: Abusing Chat Templates for Prompt Injection in LLM Agents,Y,ChatInject,tool-metadata,goal-hijack,,high,"Exploits LLM agents' structural dependence on chat templates (role tokens enforcing system>user>assistant>tool priority) by formatting a malicious tool-response payload to mimic higher-priority roles, combined with persuasive multi-turn framing; a previously underexplored injection vulnerability."
88,8b9011b256c4819d47721efc3f9522a721b92735,In-Browser LLM-Guided Fuzzing for Real-Time Prompt Injection Testing in Agentic AI Browsers,Y,UNNAMED: in-browser LLM-guided fuzzing for agentic-browser IPI,tool-output,goal-hijack,,high,"Novel fuzzing framework operating entirely within a live browser context (isolated tab, full DOM/rendering/script execution) rather than offline text simulation, preserving CSS-hiding, dynamic JS DOM modification, timing side-channel, and browser-API attack vectors invisible to prior offline approaches. No proper name coined by the paper."
90,ebd1f47a013b7b488bef0ddbf500bd0423c345ba,"Prompt Injection Attacks in Large Language Models and AI Agent Systems: A Comprehensive Review of Vulnerabilities, Attack Vectors, and Defense Mechanisms",N,,direct-input,goal-hijack,,high,"Comprehensive review of PI vulnerabilities/attack vectors/defense mechanisms; survey, no new attack technique."
91,2bb20a787ff31972a5199ac281bd839aa4602843,How Vulnerable Are AI Agents to Indirect Prompt Injections? Insights from a Large-Scale Public Competition,N,,tool-output,goal-hijack,,low,"Reports findings from the 'Indirect Prompt Injection Arena' public red-teaming competition, introducing a 'dual-objective, concealment-aware' formulation of IPI risk as an evaluation framework; the paper's own contribution is the competition + concealment-aware threat formulation rather than authorship of one specific attack technique (competitors devised the actual attacks), but the concealment-aware IPI framing itself is a candidate technique-defining contribution worth dedup-step review."
92,cf32c4016c102fac6ce1fef1e93539bc3de781cd,AgentVisor: Defending LLM Agents Against Prompt Injection via Semantic Virtualization,N,,tool-output,goal-hijack,,high,"AgentVisor is a semantic-virtualization defense (OS hypervisor analogy) against prompt injection, not a new attack."
93,020dd49f07964e638cddcde1325a0d97674be361,ReasAlign: Reasoning Enhanced Safety Alignment against Prompt Injection Attack,N,,tool-output,goal-hijack,,high,"ReasAlign is a reasoning-enhanced safety-alignment defense method against IPI, not a new attack."
94,dd8e3ff740ecd615b37dfb219d98e73a782f71d1,Hybrid Real-time Framework for Detecting Adaptive Prompt Injection Attacks in Large Language Models,N,,tool-output,goal-hijack,,low,"Empty tech summary in source; title 'Hybrid Real-time Framework for Detecting Adaptive Prompt Injection Attacks' indicates a detection defense, not a new attack."
95,32c8b781ae70c35d67c337fbd4e674236b6545c4,Defending against Adaptive Prompt Injection Attacks via Reasoning-enabled Task Alignment,N,,tool-output,goal-hijack,,high,"RETA is a training-based task-alignment defense against adaptive IPI attacks, not a new attack."
96,7493b35122cc9a5cea86996568e281624b8da76a,Whispers of Wealth: Red-Teaming Google's Agent Payments Protocol via Prompt Injection,Y,Branded Whisper Attack / Vault Whisper Attack (from 'Whispers of Wealth'),tool-metadata,resource-abuse,,high,Two novel reasoning-layer attack techniques against Google's Agent Payments Protocol (AP2): Branded Whisper (indirect prompt injection via malicious merchant product metadata biasing ranking) and Vault Whisper (direct prompt injection attempting to override identity-based access constraints during credential retrieval). Exploits that AP2 secures execution correctness but not reasoning integrity.
97,86aa57b899c911e29d574992f50c03b5bb266ed6,MPIB: A Benchmark for Medical Prompt Injection Attacks and Clinical Safety in LLMs,N,,RAG,goal-hijack,,high,"MPIB is a medical-domain benchmark/dataset for prompt injection and clinical safety, not a new attack technique."
98,1a062f96584a9f5c14177ae49fe9bb3ae30b67c1,A Layered Security Framework Against Prompt Injection in RAG-Based Chatbots,N,,RAG,goal-hijack,,high,"Three-layer middleware defense against prompt injection in RAG-based chatbots, not a new attack."
99,93d58e1c36636c8cd046db68ca3cd6e69fdd4b42,Assessing Automated Prompt Injection Attacks in Agentic Environments,N,,tool-output,goal-hijack,,low,"Adapts existing jailbreak optimization methods (GCG, TAP) to indirect prompt injection in agentic (AgentDojo) settings, including a task-universal injection-optimization variant and new tooling integration; primarily an assessment/adaptation study rather than a fundamentally new attack algorithm -- flagged low confidence since the task-universal optimization variant is a borderline methodological contribution."
100,a89c73e617861763bf122d19a412c5700990d287,Analisis Kualitatif Kerentanan AI Agent terhadap Serangan Prompt Injection dan Strategi Mitigasinya,N,,tool-output,goal-hijack,,low,"Empty tech summary; Indonesian-language title translates to 'Qualitative Analysis of AI Agent Vulnerability to Prompt Injection Attacks and Mitigation Strategies' -- appears to be a qualitative/empirical analysis, not a new attack technique, but data is sparse."
101,0d3726b27797f667331480e3a25baeec8df7beca,An Empirical Study of Privacy Leakage Chains via Prompt Injection in Black-Box Chatbot Environments,Y,UNNAMED: privacy leakage attack chain (external-content deception + IPI + exfiltration),tool-output,data-exfiltration,,low,"Demonstrates a multi-stage attack chain end-to-end against deployed black-box ChatGPT combining external-content deception (e.g. CSS-hidden instructions), indirect prompt injection, and data exfiltration; a systematization/combination of known primitives into a proven real-world chain rather than a single novel algorithmic technique -- borderline, similar to ConfusedPilot (row 21)."
102,2e511f5d91f1749659fd4980c586f9161532b156,Prompting for LLM Security and RAG: A Survey from Zero-Shot to Automatic Prompt Optimization (APO) and Prompt-Injection Defenses,N,,RAG,goal-hijack,,high,Survey on prompting for LLM security/RAG covering zero-shot to automatic prompt optimization and PI defenses; no new attack.
103,dacd135992e586b5a2b27c9134985d56cc4a20fb,"TRACER-AI: A Multi-Layer Explainable Framework for Prompt Injection, Agent Goal Hijacking, and Tool Misuse Detection in Agentic AI Systems",N,,tool-output,goal-hijack,,high,"TRACER-AI is an explainable multi-layer detection framework for prompt injection/goal hijacking/tool misuse, a defense not an attack."
104,0b8b141e8d1300b9b8910aecb4617c66b2127417,IDE-Sanitizer: A Prompt-Injection Cryptographic Context Guard for IDE Copilots,N,,tool-output,goal-hijack,,high,"IDE-Sanitizer is a cryptographic context-guard defense for IDE copilots against prompt injection, not a new attack."
