row,paper_id,title,has_technique,technique_name,channel,consequence,is_extension_of,confidence,notes
331,1ee66ccebe2e1c1d8f3f3ec74c957ea91dcd2e98,"A Multi-Agent Framework for Step-Level Tool-Call Safety Evaluation in Industrial Control Systems",N,,tool-output,resource-abuse,,high,"Benchmark for evaluating tool-call safety in industrial control settings, no new attack"
332,574941aa01920e483d384d89061d91ec797b6a37,"Multi-Agent Firewall Architecture for Privacy Protection of Sensitive Data in Interactions with Language Models",N,,multi-agent,data-exfiltration,,high,"Privacy-protection firewall defense, no new attack"
334,157e5ca927f16b3613731b1d50c0714e39825dcc,"Adaptive Adversaries: A Multi-Turn, Multi-LLM Benchmark for LLM Agent Security",N,,tool-output,goal-hijack,,high,"Adaptive multi-turn red-teaming benchmark/evaluation protocol built on AgentBeats platform, not a single novel named attack technique"
335,1849c0ea146198831e17f1b3ccde57493b980442,"The Blind Spot of Agent Safety: How Benign User Instructions Expose Critical Vulnerabilities in Computer-Use Agents",N,,tool-output,goal-hijack,,high,"OS-BLIND is a benchmark exposing a safety evaluation gap (benign-instruction harm), not a new attack technique"
336,117cd1d71516457304f87903bac925e5d1222325,"Agentic JWT: A Secure Delegation Protocol for Autonomous AI Agents",N,,tool-metadata,goal-hijack,,high,"Secure delegation protocol/defense extending OAuth 2.0, no new attack"
337,064e99edb10404a43f0aa04813a68ae6da2728e2,"The Autonomy Tax: Defense Training Breaks LLM Agents",N,,tool-output,reasoning-corruption,,high,"Empirical characterization of a defense-training failure mode (capability-alignment paradox), not a new attack technique"
338,246757c8ad6b30391c40b4df10e9ca89a5bc5c09,"SafeAgent: A Runtime Protection Architecture for Agentic Systems",N,,tool-output,goal-hijack,,high,"Runtime security architecture (defense), no new attack"
339,2aa4edab94935dd6a1bc2c0cb96923d1762fca88,"Security Engineering of OpenClaw: Analyzing Attack Surface Expansion and Trust-Boundary Violations",N,,tool-output,goal-hijack,,high,"Empirical structural analysis measuring how system configuration amplifies compromise probability under existing prompt injection, not a new attack method"
340,069e9bd355c20013de5224be1324a57a4a14352f,"Poster: Agentic Shell Honeypot Using Structured Logging",N,,tool-output,goal-hijack,,high,"Honeypot defense/detection tool (poster), no new attack"
341,af9f3b394a50bcbe1026685e991923d771c5608f,"Evaluating and Exploiting Security Vulnerabilities in Large Language Models (LLMs) for Offensive Penetration Testing",Y,"HARE (Hybrid Agent Roleplay Exploitation) / Token Economy Poisoning",tool-output,goal-hijack,,high,"Novel offensive pentesting framework introducing named context-manipulation exploit strategies (HARE, Token Economy Poisoning) alongside prompt injection/jailbreak baselines"
342,59f623857e6d89dc1d0f2ca4cb433f0017b768db,"Research on Security Enhancement Methods for Adversarial Robust Large Language Model Intelligent Agents for Medical Decision-Making Tasks",N,,tool-output,goal-hijack,,high,"ARSM-Agent is a defense framework for medical decision-making agents, no new attack"
343,18f0a52f091f3863670ea503bfd320d4bcb902a3,"Detection of adversarial intent in Human-AI teams using LLMs",N,,direct-input,goal-hijack,,high,"Detection/defense method using LLMs as behavioral overseers; the adversarial teammate behavior it detects comes from a prior published dataset/policy, not a new attack introduced here"
344,0075e82d0d5b49ed9c8bd524700dcd014a6b26e5,"Agents That Know Too Much: A Data-Centric Survey of Privacy in LLM Agents",N,,memory,data-exfiltration,,high,"Data-centric privacy survey/taxonomy, no new attack"
345,2bd42591d7a7f5d0b7f6832463431025eab39073,"Domain-Conditioned Safety in Frontier Computer-Using Agents: A 793-Episode Browser Benchmark, a Coding-Domain Cross-Reference, and a Reproducibility Audit of Recent Red-Teaming",N,,tool-output,goal-hijack,,high,"Reproducibility audit/benchmark testing existing literature attack techniques against frontier models, no new attack proposed"
347,5fd47f3c351347de692aa41262acd331635f5879,"Cross-Agent Multimodal Provenance-Aware Framework for Robust Prompt Injection Defense in Large Language and Vision-Language Models",N,,cross-modal,goal-hijack,,high,"Provenance-aware defense framework, no new attack"
348,99296c88c1470c2f20cf34f2e9708eab4f34fa2c,"SentinelAgent: Graph-based Anomaly Detection in Multi-Agent Systems",N,,multi-agent,goal-hijack,,high,"Graph-based anomaly detection defense, no new attack"
350,a74a834354664273b3dda00602f211df7563ad6c,"Cross-layer contagion of prompt injections in multi-agent swarms: a multiplex microscopic markov chain approach",N,,multi-agent,goal-hijack,,high,"Analytical/epidemiological modeling framework for how existing prompt-injection compromises spread through shared tool infrastructure, not a new technique for causing initial compromise"
351,ec46ec24c252cfa46a0d4a4128855b91cb7c5f31,"Agent Privilege Separation in OpenClaw: A Structural Defense Against Prompt Injection",N,,tool-output,goal-hijack,,high,"Structural defense (agent isolation + JSON formatting) evaluated by replicating existing LLMail-Inject benchmark, no new attack"
353,0b708c14a822691047238cfc50dc15312ee8cef1,"F2A: An Innovative Approach for Prompt Injection by Utilizing Feign Security Detection Agents",Y,F2A (Feign Agent Attack),tool-output,goal-hijack,,high,"Novel three-stage prompt injection technique exploiting LLM blind trust in integrated safety-detection agent outputs via fabricated safety-detector results"
354,64d23577d2a98b29dd80949c5fbb3b6d44d44a84,"Agent Skills Enable a New Class of Realistic and Trivially Simple Prompt Injections",Y,"UNNAMED: skill-file prompt injection (trivial/non-optimized variant)",skill,goal-hijack,,low,"First demonstration that Anthropic's Agent Skills feature enables trivially simple prompt injection with no adversarial optimization needed; foundational/base-case finding rather than an algorithmic technique -- may be subsumed by later, more sophisticated skill-injection papers (SkillJect, POISE) in dedup"
355,369148e6a920001cdc29e651a5019f096600f1f4,"Hijacking Large Audio-Language Models via Context-Agnostic and Imperceptible Auditory Prompt Injection",Y,AudioHijack,cross-modal,goal-hijack,,high,"Novel adversarial-optimization framework for imperceptible auditory prompt injection against large audio-language models, first to reveal 'auditory prompt injection' as a threat class"
356,ce9d30735c0c27de65e68b228d77381d77f2a28b,"From Prompt Injection to Persistent Control: Defending Agentic Harness Against Trojan Backdoors",Y,"ClawTrojan multi-step trojan/backdoor attack paradigm",tool-output,persistence-backdoor,,high,"Formalizes a new threat class (multi-step plant-then-trigger trojan attack where no single step looks malicious in isolation) and builds the ClawTrojan benchmark to study it; paper's own attack-paradigm contribution beyond the benchmark itself"
357,ec9062053726fa4c501b7deb016b2174bd93cc21,"DRIFT: Dynamic Rule-Based Defense with Injection Isolation for Securing LLM Agents",N,,tool-output,goal-hijack,,high,"System-level defense (dynamic rule-based isolation), no new attack"
358,954b9aadd19c6bde40a1136f2d6ade807871bc21,"Inter-Agent Trust Models: A Comparative Study of Brief, Claim, Proof, Stake, Reputation and Constraint in Agentic Web Protocol Design-A2A, AP2, ERC-8004, and Beyond",N,,multi-agent,goal-hijack,,high,"Comparative/conceptual SoK-style analysis of protocol trust models, no new attack"
359,ccd3d62ec79dfb3e9f0e242313f381d76294032c,"It's a TRAP! Task-Redirecting Agent Persuasion Benchmark for Web Agents",N,,tool-output,goal-hijack,,high,"Benchmark for studying persuasion-based prompt injection against web agents, evaluates/decomposes existing injection techniques rather than proposing one new named attack"
360,61a06ad0a80d890b1abe1eafb4535a7018022f1e,"LLM Agent Honeypot: Monitoring AI Hacking Agents in the Wild",N,,tool-output,goal-hijack,,high,"Detection/monitoring honeypot system, no new attack"
361,a60e902d31e306c0118cc6f90a1a095142bb650b,"StruPhantom: Evolutionary Injection Attacks on Black-Box Tabular Agents Powered by Large Language Models",Y,StruPhantom,tool-output,goal-hijack,,high,"Novel evolutionary/MCTS-based indirect prompt injection attack tailored to structural tabular-data agents, substantially outperforming manual baseline templates"
362,5b77cfb3a7d902911dce1b9db57fec8c439845ae,"Silent Egress: When Implicit Prompt Injection Makes LLM Agents Leak Without a Trace",Y,"Silent Egress (implicit prompt injection via URL preview/metadata)",tool-output,data-exfiltration,,high,"Novel attack subclass where adversarial instructions enter context via automatic system behaviors (URL previewing/metadata parsing) rather than explicitly retrieved content, achieving ~0.88-0.89 egress probability"
363,3a87347a14add7aacd832851982d4116fe0b24a2,"MalSkillBench: A Runtime-Verified Benchmark of Malicious Agent Skills",N,,skill,goal-hijack,,high,"Runtime-verified detection benchmark for malicious skills, no new attack method"
364,cc7a9701833cf982f6cc28957b604357e53248b8,"ARGUS: Defending LLM Agents Against Context-Aware Prompt Injection",N,,tool-output,goal-hijack,,high,"Primarily a defense (ARGUS) plus evaluation benchmark (AgentLure) for an identified evaluation gap (context-dependent tasks), not a new attack algorithm"
365,402dcb96467b49a524a6771918a0d3b96c49ba1e,"OS-Harm: A Benchmark for Measuring Safety of Computer Use Agents",N,,tool-output,goal-hijack,,high,"Safety benchmark, no new attack"
366,07734909a75edc13eb838d9f83b52dcc1ea06e64,"LlamaFirewall: An open source guardrail system for building secure AI agents",N,,tool-output,goal-hijack,,high,"Production guardrail defense system (Meta), no new attack"
367,a02a9e21fc116194570201d84dca7bb2ff85de71,"Design Patterns for Securing LLM Agents against Prompt Injections",N,,tool-output,goal-hijack,,high,"Position paper proposing defensive architectural design patterns, no new attack"
368,ec338413be097a8f6de120397411e86952c475ca,"Uncovering Security Threats and Architecting Defenses in Autonomous Agents: A Case Study of OpenClaw",N,,tool-output,goal-hijack,,high,"Case-study taxonomy of documented OpenClaw vulnerabilities plus defense proposal, no new attack technique"
369,089938febf54aad46e36234f5e1052b5d24339ad,"LLM Agents Should Employ Security Principles",N,,tool-output,goal-hijack,,high,"Position paper plus AgentSandbox defense architecture, no new attack"
370,ce3c17589968d73b61e109edf397276760151157,"Attractive Metadata Attack: Inducing LLM Agents to Invoke Malicious Tools",Y,Attractive Metadata Attack (AMA),tool-metadata,goal-hijack,,high,"Novel attack manipulating tool metadata (name/description/schema) via state-action-value optimization to bias agent tool-selection toward malicious tools, 81-95% ASR"
371,3ffb459ab34a6e766edbbdad32fe2c132ce47580,"Reliable Weak-to-Strong Monitoring of LLM Agents",N,,tool-output,goal-hijack,,high,"Monitor Red Teaming (MRT) is a stress-testing/evaluation methodology for oversight systems, not a new base attack technique"
373,e2ec43e69a95a4b4db153ca1a07885d1668b8446,"The Hidden Dangers of Browsing AI Agents",N,,tool-output,goal-hijack,,high,"Security evaluation/case study identifying concrete CVE-level vulnerabilities in an existing agent (Browser Use), not a new attack technique"
375,ee41d78f9c64e448ea885eebbc1a60ec8743d12c,"ceLLMate: Sandboxing Browser AI Agents",N,,tool-output,goal-hijack,,high,"Browser-level sandboxing defense framework, no new attack"
376,9946536d15af1c7a6ab051fae993d1db71e1c3b5,"Evaluating Privilege Usage of Agents with Real-World Tools",N,,tool-metadata,goal-hijack,,high,"GrantBox is a security evaluation sandbox for privilege usage, no new attack technique"
377,e086e2f5c47a0f3acd45577bad937ee699c4a570,"Context manipulation attacks : Web agents are susceptible to corrupted memory",Y,Plan Injection,memory,goal-hijack,,high,"Novel context-manipulation attack targeting persistent hierarchical task-planning representations in web navigation agents, extending memory/context-manipulation attacks to the web-browsing-agent domain"
676,a627218ebc531a61b3f43df433c8034165e32ba9,"Agentic Permissions Policy Algebra for Taint Confinement in LLM Agents",N,,tool-output,goal-hijack,,high,"APPA is an Information Flow Control defense framework, no new attack"
