defense_row,defense_name,matched_mechanism_name,match_justification,match_confidence
618,"icat-agent (decentralized event-based multi-agent scaffold)",,"no registry mechanisms found in baselines_compared (SWE-Agent/mini-SWE-Agent/Claude Code); self-coined 'context poisoning' (test/patch overfitting) is a self-referential non-adversarial phenomenon distinct from registry's 'context poisoning (self-induced, non-adversarial)' entry -- different specific mechanism (test overfitting from shared context) so not matched to avoid false positive",low
619,"MemGUI-Agent / ConAct (Context-as-Action)",,"no registry mechanisms found in baselines_compared (GUI-Owl/MAI-UI/Qwen3-VL/OpenMobile/ClawGUI/ScaleCUA/M3A)",low
620,"TokenMizer (typed knowledge-graph session memory)",,"no registry mechanisms found in baselines_compared (single keyword-scan baseline; qualitative comparison to Sliding window/LangChain ConversationKGMemory/MemGPT/ACC/RECOMP, not empirically tested)",low
621,"Context-Agent (dynamic discourse tree)",,"no registry mechanisms found in baselines_compared (Full-History/Truncation); lost-in-the-middle mentioned only as motivating concept for context-window-extension techniques, not tested against",low
623,"Mem0^R (unified conversational + repository memory)",,"no registry mechanisms found in baselines_compared (Full/Vanilla RAG/MemGPT/LD-Agent/Mem0/Oracle/Empty)",low
624,"Recursive Models (recursive self-invocation with isolated subtask contexts)",,"no registry mechanisms found in baselines_compared (frontier-LLM prompting for SAT; CoT/PENCIL for Go)",low
625,"Neural Paging / Page Controller",,"no registry mechanisms found in baselines_compared (classical caching algorithms Belady/LRU/LFU/FIFO/Random on synthetic Zipf traces); Lost in the Middle mentioned only as motivating related-work concept, not empirically tested",low
630,"Yunque DeepResearch - Dynamic Context Management module specifically",,"no registry mechanisms found in baselines_compared (general LLMs with ReAct, open/closed-source agent frameworks); lost-in-the-middle cited only as motivating concept",low
634,"Hybrid context management + deterministic programmatic safety checks / domain allowlisting / action restriction / least-privilege scoping (production browser-agent architecture)",,"threat model discusses prompt injection generically (citing public Comet/Claude-for-Chrome security analyses) but does not test against any specific named registry attack in its own WebGames evaluation, which measures capability not security",low
636,"AFM (Adaptive Focus Memory)",,"no registry mechanisms found in baselines_compared (Default/Naive truncated replay/Recency compression)",low
637,"Parallel Compaction",,"no registry mechanisms found in baselines_compared (sequential/synchronous compaction baseline; systems/characterization study)",low
638,"CompactionRL",,"no registry mechanisms found in baselines_compared (base untrained models, standard PPO without compaction)",low
639,"UMA (Unified Memory Agent)",,"no registry mechanisms found in baselines_compared (Concat/RAG/MemAgent/MemAgent-woq/Mem1/MemAlpha); context rot cited only as motivating concept",low
640,"PlugMem (knowledge-centric memory graph)",,"no registry mechanisms found in baselines_compared (Vanilla Retrieval/Vanilla RAG/A-Mem/Zep/MemoryOS/HippoRAG2/GraphRAG/RAPTOR/PropRAG/LiCoMemory/AWM/ReasoningBank/AgentOccam)",low
641,"MemoBrain",,"no registry mechanisms found in baselines_compared (Direct Reasoning/vanilla RAG variants/ReAct/WebThinker/WebDancer/ReSum-GRPO/DeepAgent-RL/AgentFold)",low
643,"MGA (Memory-Driven GUI Agent) - Observer + Structured Memory",,"no registry mechanisms found in baselines_compared (O3/OpenCUA/UI-TARS/DeepMiner-Mano/Claude-Sonnet/Agent S3/UiPath/Jedi/CoAct-1/GTA1/OS-Symphony)",low
644,"Engram (Archive + Research Digest)",,"no registry mechanisms found in baselines_compared (OpenEvolve/Glia/human SOTA heuristics); context rot cited only as motivating concept",low
645,"LWM-Planner (Fact Extraction and Compression / FEC)",,"no registry mechanisms found in baselines_compared (ReAct/Reflexion/Tree-of-Thought/Retrieval-Augmented Planning)",low
647,"PRIMA (context-boundary discipline + reference-material sandboxing + poisoned-output rejection)",,"no quantitative baseline comparisons performed at all; threat model discusses indirect prompt injection generically but does not test against any specific named registry attack (paper explicitly states baseline comparisons are left to future work)",low
648,"MemFlow (Router Agent + tiered Memory Agent + Validator Agent)",,"no registry mechanisms found in baselines_compared (Direct QA/RAG/ReAct/Memobase/MemGPT); lost-in-the-middle cited only as motivating concept",low
650,"Taxonomy-Aware / Pipeline conflict-type-aware response generation (from the CONFLICTS benchmark)",,"no registry mechanisms found; baselines are internal prompting-strategy variants (Vanilla/Pipeline/Taxonomy-Aware/Oracle) on the paper's own novel conflict-type taxonomy, not a registry-named mechanism",low
651,"BordaRAG (Borda Voting-based document selection)",,"Excel record has no baselines_compared/key_result/technical_summary data available to assess",low
652,"CDD (Context-Driven Decomposition)","context compliance (failure to track whether output was actually controlled by retrieved context vs. parametric prior vs. post-hoc rationalization)","paper is titled 'Diagnosing Context Compliance under Knowledge Conflict' and explicitly defines/diagnoses this exact phenomenon (termed 'context compliance' by the authors) as its core evaluation target",high
653,"SHIFT (gate-modulated activation steering)",,"no registry mechanisms found in baselines_compared (Vanilla-RAG/CtrlA/CK-PLUG/SFT/Knowledgeable-R1); general knowledge-conflict phenomenon tested is not tied to a specific registry-named mechanism",low
654,"TCR (Transparent Conflict Resolution)",,"no registry mechanisms found in baselines_compared (Prompt/KAFT/IRCAN/RAAT/Parenting/Astute RAG/CD2/InstructRAG/Self-Route); general knowledge-conflict phenomenon not tied to a specific registry-named mechanism",low
655,"FaithfulRAG (fact-level conflict modeling + Self-Think)",,"no registry mechanisms found in baselines_compared (Self-RAG/ChatQA/Opin-Instr/ATTR/KRE/CAD/COIECD); self-coined Over-confidence/Incorrect-match error terms not in registry",low
656,"KCM (Knowledge Conflict Mitigation)",,"Excel record has no baselines_compared/key_result/technical_summary data available to assess",low
657,"Micro-Act (hierarchical action-space decomposition)",,"no registry mechanisms found in baselines_compared (End-to-End QA/Few-Shot QA/CoT/Self-Ask/GKP/Comparative); self-coined 'over-rationalization' phenomenon not in registry",low
658,"CARE-RAG (Conflict-Aware and Reliable Evidence for RAG)",,"no registry mechanisms found in baselines_compared (No-RAG/standard RAG/InstructRAG/GenRead/Self-RAG); general knowledge-conflict phenomenon not tied to a specific registry-named mechanism",low
659,"TruthfulRAG (knowledge-graph-based factual conflict resolution)",,"no registry mechanisms found in baselines_compared (no-RAG/standard RAG/KRE/COIECD/FaithfulRAG); general factual-level knowledge-conflict phenomenon not tied to a specific registry-named mechanism",low
660,"PH3 (Pruning Head via PatH PatcHing)","mechanistic explanation of knowledge conflict via information-flow/attention-head circuit (PH3)","registry mechanism name explicitly references PH3; this is the paper's own mechanistic-interpretability finding (memory heads vs context heads) that its own evaluation directly measures and exploits",high
661,"DyPRAG (Dynamic Parametric RAG)",,"no registry mechanisms found in baselines_compared (Vanilla/Standard RAG/PRAG/PRAG-Combine/FLARE/DRAGIN); general RAG hallucination/knowledge conflict not tied to a specific registry-named mechanism",low
662,"CRVA-TGRAG (Conflict Resolution in Vulnerability Analysis via Teacher-Guided RAG)",,"no registry mechanisms found in baselines_compared (No Prompt/Prompt Only/DPO+Prompt/Naive RAG); domain-specific CVE knowledge staleness, not a registry-named mechanism",low
663,"Conflict-Aware RAG (ConScore signal + multi-stage SFT/DPO/reranking)",,"Excel record has no baselines_compared/key_result/technical_summary data available to assess",low
664,"MACR (multi-agent conflict resolution)",,"no registry mechanisms found in baselines_compared (Direct Answer/ICL/InstructRAG-ICL/TruthfulRAG/CK-PLUG); self-coined 'confirmation bias' failure mode not in registry",low
665,"ConflictRAG (two-stage detection + Entropy-TOPSIS credibility + CARS metric)",,"no registry mechanisms found in baselines_compared (Standard RAG/RAG+Reranking/Self-RAG/CRAG/NLI-Filter/CoT Detection); general inter-document/parametric-contextual conflict not tied to a specific registry-named mechanism",low
666,"CD2 (Conflict-Disentangle Contrastive Decoding)",,"no registry mechanisms found in baselines_compared (Closed-book/In-context/Finetune_Orig/Finetune_Conf); general RALM knowledge-conflict phenomena studied are the paper's own novel findings (Dunning-Kruger effect, availability bias, majority rule, confirmation bias) not tied to a specific registry-named mechanism",low
667,"ParamMute (Parametric Knowledge Muting through FFN Suppression)",,"no registry mechanisms found in baselines_compared (Attrprompt/O&Iprompt/COIECD/SFT/KAFT/Context-DPO/DDR); general unfaithful-generation phenomenon not tied to a specific registry-named mechanism",low
668,"Swin-VIB (variational information bottleneck pipeline)",,"no registry mechanisms found in baselines_compared (Closed-book/In-context/CD2/CK-PLUG/Rowen-CL/Naive RAG/Self-RAG/Astute RAG); general knowledge-conflict phenomenon not tied to a specific registry-named mechanism",low
669,"Cross-Validation Re-ranking (inter-context conflict-aware re-ranking)",,"Excel record has no baselines_compared/key_result/technical_summary data available to assess",low
670,"KnowPO (Knowledge-aware Preference Optimization)",,"no registry mechanisms found in baselines_compared (Base Model/Naive Prompt/CoT/COT-VE/KAFT/CAD); self-coined 'Contextual Ignorance'/'Contextual Overinclusion' error types not in registry",low
673,"RPO (Retrieval Preference Optimization)",,"no registry mechanisms found in baselines_compared (vanilla RAG/RAG+SFT/RAG+DPO/Self-RAG/CRAG/AstuteRAG/InstructRAG/RAGChatGPT)",low
675,"ProbeRAG (knowledge pruning + latent conflict probing + conflict-aware attention)",,"no registry mechanisms found in baselines_compared (No-Context/Full-Context/Opin-Instr/KRE/FaithfulRAG/CAD/COIECD/AdaCAD/Context-DPO/CANOE/ParamMute); general contextual unfaithfulness phenomenon not tied to a specific registry-named mechanism",low
676,"APPA (Agentic Permissions Policy Algebra)",,"no registry mechanisms found in baselines_compared (APPA-no-fork/APPA-open/Fides/Fides-open); threat model is generic indirect prompt injection plus own IFC benchmark, not tied to a specific registry-named attack",low
677,"UNNAMED: Pre-deployment scan/harden/validate pipeline (Analyzer/Modifier/Validator)",,"no registry mechanisms found in baselines_compared (AgentDojo default defense, FIDES); Validator generates own adversarial jailbreak/instruction-override/tool-manipulation inputs, not tied to a specific registry-named attack",low
678,"Twin Agent (Explore Agent / Safe Agent residual-hint privilege separation)",,"no registry mechanisms found in baselines_compared (Undefended Default Agent/Dual Agent/CaMeL); adaptive attack uses PAIR jailbreak-optimization algorithm (not a registry entry) on own benchmarks (SWE-bench-injected/AgentDojo/DecodingTrust-Agent)",low
679,"PromptSentinel-X",,"Excel record has no baselines_compared/key_result/technical_summary data available to assess",low
680,"UNNAMED: Layered defense (input filtering + prompt hardening/spotlighting + output validation) against passive prompt injection","LogInject / Passive Prompt Injection","paper's own system/benchmark is literally named LogInject and evaluates the layered defense directly against its own passive-prompt-injection log-poisoning attack (Atomic/Fragmented Context Stitching/Obfuscated levels) on the LogInject-1.0 benchmark",high
682,"CXI (Context-to-Execution Integrity)",,"no registry mechanisms found in baselines_compared (no head-to-head baseline defense re-implemented, qualitative comparison only to PACT/ARGUS/FORGE/AIRGuard/FIDES); own benchmarks (code-agent, AgentDojo exact-effect subset) not tied to a specific registry-named attack",low
683,"aiAuthZ (identity-bound off-host authorization gateway)",,"no registry mechanisms found in baselines_compared (Llama Guard, AgentDojo spotlighting, Open-Agent-Passport-style, Agent-Identity-Protocol-style ablations); evaluated on own attack prompts and the 'Agents of Chaos' incident corpus, not a specific registry-named mechanism",low
684,"Pattern D: Inference-boundary redaction proxy (PII extraction/tokenization before model inference)",,"no quantitative baseline systems compared; maps generic threat categories (prompt injection, tool abuse, etc.) onto regulatory obligations without testing against any specific registry-named mechanism",low
686,"Prompt-response verification framework (Task Analyst + Safety Analyst + Judge)",,"baselines are other defense tools (SelfDefend/AutoDefense/PromptGuard-2/InjecGuard/ScamLLM/LlamaGuard/ShieldGemma/WildGuard/OpenAI Moderation), not registry-named attack mechanisms; evaluated on generic jailbreak/injection/phishing/malicious-code/harmful-content categories",low
687,"GIF (Geometric Information Flow)",,"no registry mechanisms found in baselines_compared (RTBAS/GIF-minus/GPT-5.5-judge); evaluated on AgentDojo/MSB/AgentDAM benchmarks generically for integrity/confidentiality, not a specific registry-named mechanism",low
690,"KBRA (Keyed Binding Reassembly Audit)","Relinking","paper's own novel attack, 'Relink'/'adversarial relinking,' is explicitly named and evaluated end-to-end (86.9% overall Relink Rate/Backend Action Rate across AgentDojo/ASB/InjecAgent/tau2-bench), matching registry's 'Relinking' entry",high
691,"AgenticOS (Ghost Kernel / Logic Shutter / Agent Capsule / Semantic Boundary Gateway)",,"purely conceptual architecture paper with no implementation or empirical evaluation of any kind; discusses generic threat classes (supply-chain poisoning, tool-output poisoning) qualitatively only",low
692,"PARSE (Provenance-Aware Retrieval Sanitization)",,"baselines are other defense techniques (spotlighting/sandwich prompting/paraphrasing/Llama Guard 3/CommandSans), not registry-named attack mechanisms; evaluated on paper's own 'domain-camouflaged attacks', not a registry entry",low
695,"Route-Safety Audit Contract (confirmation-plus-provenance routing)",,"no prior published defense/attack baseline compared (first paper to formalize brain-prompt injection); evaluated against own formalized attack classes (C1-C4), not a registry-named mechanism",low
697,"SecureClaw (dual-boundary: effect-sink authorization + read-boundary plaintext confinement)",,"baselines are other defense systems (IPIGuard/DRIFT/Faramesh), not registry-named attack mechanisms; evaluated on AgentDojo/AgentLeak/ASB benchmarks generically, not a specific registry-named mechanism",low
698,"PRISM (activation-conditioned instruction-set interpreter)",,"baselines are other interpretability methods (LatentQA/Activation Oracles/text-only GPT-5.5 reporter), not registry-named attack mechanisms; evaluated on paper's own AP/HO/BC/BN settings for generic prompt injection/hidden-objective detection",low
703,"AgentSecBench Combined defense stack (filtering + projection + redaction + delimiter annotation)",,"baselines are other defense classes (delimiter hardening/classifier filtering/provenance-aware RAG gating/least-privilege tool gating), not registry-named attack mechanisms; evaluated on paper's own three security games, not a specific registry-named mechanism",low
704,"DCP (Device Context Protocol)",,"baselines are other protocols (Raw MCP/IoT-MCP/OpenAPI 3), not registry-named attack mechanisms; adversarial evaluation uses AgentDojo's generic attack templates (Direct/IgnorePrevious/SystemMessage/InjecAgent/ImportantInstructions/ToolKnowledge), none of which is an exact registry entry name",low
706,"UNNAMED: Hybrid SIEM + One-Class SVM prompt-injection detection framework",,"Excel record has no baselines_compared/key_result/technical_summary data available to assess",low
707,"MemAudit (counterfactual memory influence score + memory consistency graph)",,"threat model is the MINJA memory-poisoning attack, which is not present in the mechanism registry (registry has other memory-poisoning attacks but not MINJA specifically); no registry mechanisms matched",low
708,"Contiguity-gate defense (for guardrail sliding-window aggregation)","Prompt Overflow Attack","paper's own novel attack is literally named 'Prompt Overflow Attack' and is the exact evaluation target throughout (100% bypass rate against Llama Prompt Guard/IBM Granite Guardian, DeBERTa-v3 collapse under Semantic Camouflage), matching registry entry name exactly",high
710,"ESLD (External Surrogate Latent Defense)",,"no registry mechanisms found; evaluated on generic UPIA/XPIA (direct/indirect prompt injection) categories using standard guard-model benchmarks, not a specific registry-named mechanism",low
713,"Write-gate sanitization (pre-summarization redaction/rewrite) for memory laundering","memory laundering","paper's title and central contribution is literally 'memory laundering' (toxic content compressed below classifier detection threshold while still steering downstream agents), an exact match to the registry entry name; own empirical rollouts directly measure and mitigate this phenomenon",high
714,"Plan-Then-Execute (PTE) architecture for web agents",,"no registry mechanisms found; generic indirect-prompt-injection threat model with paper's own control-flow-hijacking/outcome-manipulation taxonomy applied to WebArena tasks, not a specific registry-named mechanism",low
716,"FATE (on-policy self-evolving repair framework) with Pareto-Front Policy Optimization (PFPO)",,"baselines are other defense tools (Tool Filter/PI Detector/LlamaGuard/Qwen3-Guard/AgentDoG), not registry-named attack mechanisms; evaluated on AgentDojo/AgentHarm/ATBench generically for prompt injection/jailbreaks/harmful requests",low
718,"sign-c (server-side signing of execution-bearing response fields)","RTA-PostForge (response-path tampering attack)","paper's own attack, the Relay Tampering Attack (RTA), has a response-path variant explicitly named 'RTA-PostForge' in the paper itself, matching the registry entry name exactly; sign-c is evaluated directly against RTA-PostForge (rejects every tampered response, 0 false rejections)",high
721,"ADEMA (checkpoint-resumable persistence + segment-level memory condensation + epistemic bookkeeping)",,"non-adversarial reliability paper with no attacker model; internal ablation comparisons only, not tied to any registry-named mechanism",low
722,"SnapGuard (visual stability indicator + action-oriented textual signal recovery)",,"baselines are other image/text-based detection methods (GPT-4o-prompt, OCR+VLM pipelines), not registry-named attack mechanisms; evaluated on paper's own screenshot-injection dataset, not a specific registry-named mechanism",low
725,"UNNAMED: deterministic post-audit verifier layer added to a compositional safety system",,"evaluated on AgentHarm and AgentDojo benchmarks generically plus the paper's own Owner-Harm Benchmark/taxonomy (C1-C8), not tied to a specific registry-named mechanism",low
726,"Token-Level Round-Robin (RR) Collaboration / RRMaj",,"threat model uses paper's own self-coined 'advisory injection'/'imperative corruption' payload framing in a multi-agent voting context, not tied to a specific registry-named mechanism",low
731,"UNNAMED: domain-specific multi-layer safeguard pipeline (pattern filters + structural validation + contextual sandboxing + session-level behavioral checks)",,"baselines are other guardrail systems (NeMo Guardrails, Prompt Guard 2), not registry-named attack mechanisms; evaluated against paper's own six-family attack taxonomy (Instruction Override/Role Hijacking/Format Bypass/Multi-turn Escalation/Prompt Exfiltration/Obfuscated), not exact registry entries",low
733,"Agent Sentry (structural classifier + allowlist + LLM judge)",,"baselines are other defense systems (CaMeL/Progent/DRIFT), not registry-named attack mechanisms; evaluated on Agent-Sentry Bench/AgentDojo/AgentDyn/Native-Trace Bench generically, not a specific registry-named mechanism",low
626,Neural Paging / Page Controller,,"no registry mechanisms found in baselines_compared (classical caching algorithms Belady/LRU/LFU/FIFO/Random on synthetic Zipf traces); Lost in the Middle mentioned only as motivating related-work concept, not empirically tested",low
734,PCFI (Prompt Control-Flow Integrity),,"baselines are a no-defense control and internal stage ablations; evaluated on paper's own 150-sample benchmark testing generic direct/indirect prompt injection and role-switch impersonation, not tied to a specific registry-named mechanism",low
737,IH-Challenge (RL training dataset with online adversarial example generation),,"evaluated on Internal Prompt Injection Benchmark, CyberSecEval 2, TensorTrust, and adaptive human red-teaming generically, not tied to a specific registry-named mechanism",low
738,MOSAIC (plan-check-act/refuse post-training framework),,"evaluated on ASB (Agent Security Bench), PrivacyLens, and AgentHarm generically for injection/harm robustness, not tied to a specific registry-named mechanism",low
742,LLMbda / Randori (dynamic information-flow-control lambda calculus with verified interpreter),,"baselines are other IFC defense systems (CaMeL, TypeGuard, tacit), not registry-named attack mechanisms; evaluated on AgentDojo banking suite's generic attack/task pairs, not a specific registry-named mechanism",low
744,UNNAMED: security-aware RAG framework (evidence-based abstention + prompt-injection defense + multi-source agreement verification + trust-weighted retrieval),,Excel record has no baselines_compared/key_result/technical_summary data available to assess,low
746,"Activation-based (linear probe) prompt-injection classifier, evaluated under Leave-One-Dataset-Out (LODO) protocol",,"baselines are other guardrail/classifier systems (PromptGuard2/LlamaGuard/ProtectAI v2/Deepset v2), not registry-named attack mechanisms; evaluated across 18 compiled generic attack/benign datasets (incl. BIPIA), not a specific registry-named mechanism",low
747,AlignSentinel (three-class instruction-hierarchy-aware attention-based classifier),,"baselines are other detectors (Abdelnabi et al./PromptGuard2/DataSentinel/AttentionTracker/Chen et al.), not registry-named attack mechanisms; evaluated on paper's own 8-domain benchmark, IHEval, and OpenPromptInjection generically for direct/indirect injection, not a specific registry-named mechanism",low
748,Authenticated Prompts / Authenticated Context (cryptographic provenance + policy algebra),,"evaluated against paper's own 6-category taxonomy (Injection/Obfuscation/Semantic Drift/Context Poisoning/Tool Chaining/Replay), not tied to a specific registry-named mechanism",low
752,InjectDefuser,,"baselines are undefended Standard/Advanced prompting modes and prior phishing-detection pipelines (PhishLLM-style), not registry-named attack mechanisms; evaluated on paper's own HTML-embedded PI taxonomy for phishing-detection evasion, not a specific registry-named mechanism",low
753,RedVisor,,"baselines are other injection defenses (PromptArmor/PromptLocate/DataFilter/Sandwich/StruQ/SecAlign), not registry-named attack mechanisms; evaluated on Alpaca-Farm's generic Naive/Ignore/Escape/Compositional/Multi-hop attack categories plus a generic adaptive GCG_LLM attack, not a specific registry-named mechanism",low
754,UNNAMED: Randomized/Adversarial Suffix Augmentation Training for task-drift probes,UNNAMED: multi-probe evasive GCG suffix attack,"this defense is evaluated within the same paper directly against the paper's own multi-probe GCG-based universal adversarial suffix attack (93.91-99.63% ASR against 5 activation-delta probes simultaneously), which is exactly the registry's 'UNNAMED: multi-probe evasive GCG suffix attack' entry; the randomized suffix-augmentation retraining restores 80-100% detection accuracy against this attack",high
762,UNNAMED: Uncertainty-based Random Forest attack detector (chimera/Xmera),Xmera (chimera MitM framework),"the defense's own paper introduces and evaluates against the chimera/Xmera MitM attack framework (alpha/beta/gamma variants) by name, matching the registry entry exactly; the uncertainty-based Random Forest classifier is trained and tested to distinguish chimera-attacked from unattacked queries (up to ~94.8% AUC)",high
763,SIC (Soft Instruction Control),,"baselines are AgentDojo's built-in defenses plus other detectors (Protect AI/PromptGuard/DataSentinel/PIGuard/MELON/PromptArmor-style), not registry-named attack mechanisms; evaluated on AgentDojo's generic attack templates and an adaptive genetic-algorithm attacker, not a specific registry-named mechanism",low
765,BinaryShield,,"baselines are SimHash and non-private dense embeddings, not registry-named attack mechanisms; evaluated on paraphrasing-variant scenarios (V-1 to V-10) and Azure Prompt Shields validation, not a specific registry-named mechanism",low
766,LeakSealer,,"baselines are Llama Guard 3 and LLM-as-judge configurations, not registry-named attack mechanisms; evaluated on ToxicChat, a PII-leakage dataset, and OpenAI Content Moderation dataset generically, not a specific registry-named mechanism",low
770,Sentinel (qualifire/prompt-injection-sentinel),,"baseline is protectai/deberta-v3-base-prompt-injection-v2, not a registry-named attack mechanism; evaluated on an internal test set plus wildjailbreak/jailbreak-classification/deepset/Qualifire public benchmarks generically, not a specific registry-named mechanism",low
771,AIR (Augmented Intermediate Representations),,"baselines are Delimiter and ISE instruction-hierarchy signal injection methods, not registry-named attack mechanisms; evaluated against generic gradient-based (GCG-style) and static (Naive/Ignore/Completion/Escape Separation) attack categories from prior Structured Query/Instruction Hierarchy benchmarks, not a specific registry-named mechanism",low
777,Mantis,,"sole baseline is a 'No Defense' condition; Mantis uses prompt injection as an active countermeasure against real autonomous pentesting agents (PentestGPTAuto/AutoPenAgent/HackingBuddyGPT) attacking HackTheBox machines, not evaluated against any registry-named pollution mechanism",low
779,ISE (Instructional Segment Embedding),,"baselines are a plain Baseline and Delimiter method, not registry-named attack mechanisms; evaluated on the Structured Query and Instruction Hierarchy benchmarks' generic direct/indirect injection, extraction, and harmful-request categories, not a specific registry-named mechanism",low
782,TaskTracker (activation-delta task-drift detection),,"baselines are Prompt Guard and Prompt Shields, not registry-named attack mechanisms; evaluated on an out-of-distribution test set of unseen jailbreaks/malicious instructions plus two paper-devised adaptive attacks, not a specific registry-named mechanism",low
784,SmoothVLM,,"evaluated against JIP (Jailbreak In Pieces) and VAE (Visual Adversarial Examples) attacks adapted to a patch formulation, plus adaptive EOT attacks; neither JIP nor VAE corresponds to a specific registry-named mechanism",low
788,Jatmo,,"baseline is undefended GPT-3.5-Turbo; evaluated against prompt injection attacks devised by the authors themselves across 7 example tasks, not a specific registry-named mechanism",low
791,Discern-and-Answer,UNNAMED: over-trust bias toward conflicting external evidence over correct parametric memory in RALMs,"the paper directly demonstrates and measures this phenomenon: under Longpre et al.'s entity-replacement counterfactual perturbation, GPT-3.5's Semi-Parametric (retrieval-augmented) setting degrades below its own Parametric-only baseline at high perturbation levels, showing the model over-trusts conflicting/incorrect retrieved evidence over correct parametric knowledge; the defense is evaluated specifically against this measured degradation",medium
792,Trust-Aware Orchestration Architecture (hard gates + advisory filters + deterministic syntax recovery),,Excel record has no baselines_compared/key_result/technical_summary data available to assess,low
798,+ModTool (memory correction tool for MemEvoBench),memory misevolution,"the defense's own paper is titled 'MemEvoBench: Benchmarking Memory MisEvolution in LLM Agents' and +ModTool is evaluated directly against the paper's memory misevolution protocol (self-reinforcing behavioral drift from misleading memory across 3 rounds), an exact match to the registry entry name",high
801,AgentWatcher,,"baselines are other injection detectors (DataSentinel/PromptArmor/PromptGuard/PIGuard/GPT-OSS-Safeguard), not registry-named attack mechanisms; evaluated on AgentDojo/InjecAgent/WASP/AgentDyn and long-context datasets generically, not a specific registry-named mechanism",low
802,MAT-based Assurance Framework (Message-Action Traces + governance layer: capability limits + action mediation),,no empirical evaluation is performed at all; the paper is a proposed methodology/taxonomy with prototype implementation and empirical validation explicitly deferred to future work,low
804,AprielGuard,,"baselines are other guardrail models (Llama Guard/Granite Guardian/ShieldGemma/gpt-oss-safeguard/Qwen3Guard), not registry-named attack mechanisms; evaluated on an internal agentic workflow benchmark and public SALAD-Bench-derived Safety Risks/Adversarial Attacks benchmarks generically, not a specific registry-named mechanism",low
807,AgentSight (eBPF boundary tracing),,"no head-to-head empirical baseline comparison performed (qualitative contrast only); Case Study 1's prompt injection detection uses a bespoke README-URL exfiltration demo illustrating generic indirect prompt injection, not a specific registry-named mechanism",low
808,User-Tool Aligned Safety RL Framework,,"baselines are No Defense/Prompt Guarded/User Aligned configurations, not registry-named attack mechanisms; evaluated on ASB (Agent Security Bench), InjecAgent, and custom malicious/sensitive test sets generically, not a specific registry-named mechanism",low
813,ToolSafe (TS-Guard + TS-Flow),,"baselines are other guardrail models and frameworks (LlamaGuard3/Qwen3Guard-8B-Gen/ShieldAgent-THU/Safiron/sandwich defense/LlamaFirewall), not registry-named attack mechanisms; evaluated on paper's own TS-Bench plus ASB-Traj/AgentDojo-Traj/ASB-IPI/AgentHarm generically, not a specific registry-named mechanism",low
