defense_row,defense_name,matched_mechanism_name,match_justification,match_confidence
246,"LGA (Layered Governance Architecture)","Indirect Prompt Injection (IPI)","TC1 (Agency Abuse via Prompt Injection) is one of three formalized threat classes tested on a custom 1,081-sample benchmark, with generalization confirmed on the external InjecAgent benchmark (99-100% interception)",medium
247,"ShieldNet","","Evaluated against a large custom benchmark (SC-Inject-Bench, 10,000+ malicious MCP tools, 25+ MITRE ATT&CK-derived attack types) rather than any single named registry mechanism; too broad/generic to attribute to one specific mechanism with confidence",low
249,"ChannelGuard","Indirect Prompt Injection (IPI)","Directly tests Prompt Injection and Tool Poisoning attack channels (IB-3 gate blocking tool-worker channel content); on Azure GPT-5 stack ASR reduced 50% relative to undefended pipeline",high
249,"ChannelGuard","UNNAMED: memory-poisoning attack taxonomy (6 classes incl. Conditional Command Insertion, Policy-Conformant Fact Injection, False Precedent Insertion)","Tests Memory Poisoning, Slow-Drift Memory, Role-Confusion Memory, and Consent-Escalation Memory attack variants against the memory-worker channel gate (IB-3-mem), though exact correspondence of these named subtypes to the registry's 6-class taxonomy is not verified from the available text",low
251,"ControlNet (ControlNET)","","Evaluated against the paper's own self-defined five risk categories (reconnaissance, data exfiltration, unauthorized access, knowledge poisoning, conversation hijacking) rather than any specific named registry mechanism",low
252,"FilterRAG / ML-FilterRAG","PoisonedRAG","Primary baseline/attack throughout is explicitly PoisonedRAG (Zou et al.); evaluated on HotpotQA, MS-MARCO, and NQ against PoisonedRAG-poisoned corpora, restoring accuracy close to unattacked CleanRAG baseline",high
254,"RAG-H","","no baselines_compared/key_result/technical_summary data available in workbook (all fields empty)",low
255,"Salience Normalization (SN-1)","Salience Induction","Same paper introduces and evaluates the Salience Induction attack (83.3% untargeted ASR on SalientWiki-MH); SN-1 is the paper's own countermeasure, reducing ASR to 15.3% under the standard attacker",high
256,"UNNAMED: policy-first Hybrid RAG architecture (pre-reranking access control + BM25/dense fusion via RRF + evidence-pack citation-grounded generation)","","no baselines_compared/key_result/technical_summary data available in workbook (all fields empty)",low
258,"MedRAGShield","","no baselines_compared/key_result/technical_summary data available in workbook (all fields empty)",low
269,"BiRD (Bidirectional Ranking Defense)","PoisonedRAG","Evaluated across 3 datasets x 3 retrievers x 3 LLMs directly against PoisonedRAG, reducing ASR to as low as 0.08 (from 0.87 undefended) while improving task accuracy",high
269,"BiRD (Bidirectional Ranking Defense)","Indirect Prompt Injection (IPI)","Threshold calibrated on PoisonedRAG validation subset is separately confirmed to transfer effectively against a 'Prompt Injection Attack' on MS MARCO across all three retrievers",medium
270,"TriShieldRAG","PoisonedRAG","Evaluated against the non-adaptive, black-box PoisonedRAG attacker (5 poison documents per target question, trigger-plus-injection template) over a 5,000-document Wikipedia knowledge base, reducing ASR from ~91% to ~13%",high
271,"UNNAMED: two-plane OPA-based governance architecture for secure RAG (provenance + ABAC + policy-as-code across ingestion/indexing/retrieval/generation)","","no baselines_compared/key_result/technical_summary data available in workbook (all fields empty)",low
276,"ReliabilityRAG","Indirect Prompt Injection (IPI)","Evaluated under prompt injection attacks targeting specific retrieved-document ranks (Position 1/10/25/50), explicitly described as defending against 'prompt injection and corpus poisoning' in retrieval-corpus attacks",medium
277,"BlindGuard","Indirect Prompt Injection (IPI)","Evaluated across MAS topologies against a 'PI' (prompt injection) attack type, including Chain-TA/CSQA-MA settings built on InjecAgent, with per-topology AUC/ASR reported",medium
278,"TracLLM","Indirect Prompt Injection (IPI)","Table 1a evaluates context-traceback precision/recall on prompt-injection attacks across MuSiQue/NarrativeQA/QMSum (0.94-0.98 precision), including generalization across 13 attack variants and 6 LLMs",high
278,"TracLLM","PoisonedRAG","Table 1b evaluates knowledge-corruption attribution specifically via PoisonedRAG on NQ/HotpotQA/MS-MARCO (0.78-0.89 precision/recall), including a real-world PoisonedRAG-style case study (Google AI Overviews glue-on-pizza incident)",high
284,"UNNAMED: self-healing memory architecture (cosine-similarity drift detection + cross-agent consensus repair)","","no baselines_compared/key_result/technical_summary data available in workbook (all fields empty)",low
288,"TraceCaps","","no baselines_compared/key_result/technical_summary data available in workbook (all fields empty)",low
289,"SkillVetBench (LLM-as-Judge)","UNNAMED: skill-file prompt injection (trivial/non-optimized variant)","Labeled 100-skill benchmark includes a 'Prompt Injection' category (19 skills) which the LLM-as-Judge flags all 19 of, versus near-total misses by conventional scanners; exact correspondence to this specific registry variant vs. a different skill-injection technique is not confirmed from available text",medium
290,"MemLineage","AgentPoison","Deterministic mechanism-isolation harness explicitly tests an 'AgentPoison-style' attack family, which the signature-only baseline closes but only MemLineage drives to zero ASR across all attack families",high
290,"MemLineage","MemoryGraft","Same mechanism-isolation harness explicitly tests a 'MemoryGraft-style oracle-retrieval poisoning' attack family, closed only by MemLineage's derivation-lineage tracking, not by the signature-only baseline",high
293,"SecureGov-Agent","","no baselines_compared/key_result/technical_summary data available in workbook (all fields empty)",low
297,"SUPERVISOR","AGENTBAIT","Same paper introduces the AGENTBAIT social-engineering attack paradigm (67.5% avg ASR across 5 web-agent frameworks) and evaluates SUPERVISOR directly against it, reducing ASR by up to 78.1% on average",high
