row,paper_id,title,decision,reason
507,85329578c623d77362b55c97a40c811b3277e0b0,CookBench: A Long-Horizon Embodied Planning Benchmark for Complex Cooking Scenarios,EXCLUDE,"cooking task-planning benchmark, not about context degradation"
508,e3116a5d5784392d9190ca35997f65a252291032,Plan-Seq-Learn: Language Model Guided RL for Solving Long Horizon Robotics Tasks,EXCLUDE,"LLM-guided RL robotics manipulation framework, unrelated"
511,b3e268e404c45e4b90e0839f9c3963c5fe2fd320,LH-Deception: Simulating and Understanding LLM Deceptive Behaviors in Long-Horizon Interactions,EXCLUDE,"deceptive-behavior simulation study, not about context contamination"
513,81d0a2c6001e2b9a8770d36737ec4022436a9e4c,Plan-and-Act: Improving Planning of Agents for Long-Horizon Tasks,EXCLUDE,"web-navigation planning framework, not about context degradation"
516,6c390f6e2c678569f2be80e5c5cb286d34aed235,LLMs augmented hierarchical reinforcement learning with action primitives for long-horizon manipulation tasks,EXCLUDE,"hierarchical RL robotics manipulation framework, unrelated"
517,a6548b0d5ae43e3ebf1e5a06d53d06f4babf498d,SelfAI: A self-directed framework for long-horizon scientific discovery,EXCLUDE,"self-directed scientific-research agent framework, not context degradation"
519,14954232bdfe0607c14f26345a19c2dcd2ac51a1,"CubeBench: Diagnosing Interactive, Long-Horizon Spatial Reasoning Under Partial Observations",EXCLUDE,"Rubik's Cube spatial-reasoning benchmark, unrelated to context contamination"
520,cc1658260272b8deb85fd4de7edba36ca83ccc95,Harnessing Uncertainty: Entropy-Modulated Policy Gradients for Long-Horizon LLM Agents,EXCLUDE,RL training-methodology paper (entropy-modulated gradients)
521,e09a2e4fa4fe89e6553b844ed841643769c1118c,Can We Rely on LLM Agents to Draft Long-Horizon Plans? Let's Take TravelPlanner as an Example,INCLUDE,measures attention dilution/distraction from noisy context in agent planning
524,30da58c425d4e2a5e3c0b774cf8302d2fcf9ce51,AgentGym-RL: Training LLM Agents for Long-Horizon Decision Making through Multi-Turn Reinforcement Learning,EXCLUDE,"RL training framework for agents, not about context degradation"
527,49eee6c544b1fcf1185c5e1f958be924300b988b,MARPLE: A Benchmark for Long-Horizon Inference,EXCLUDE,"multimodal causal-inference benchmark, unrelated to context contamination"
529,3fb703b11e3be7f9189f1aea0d60b4dc976c81da,SALT: Step-level Advantage Assignment for Long-horizon Agents via Trajectory Graph,EXCLUDE,"RL training methodology (credit assignment), not context degradation"
532,7c0e8d7d52de470b1f0bd3999f27ceb0d8fb9f0c,DeepPlanning: Benchmarking Long-Horizon Agentic Planning with Verifiable Constraints,EXCLUDE,"travel/shopping planning benchmark, not about context degradation"
533,794c86081548fd10d6729f69363eb8dc5478037e,AutoLab: Can Frontier Models Solve Long-Horizon Auto Research and Engineering Tasks?,EXCLUDE,"auto research/engineering benchmark, unrelated to context contamination"
542,1ce6ab39e5d852e4c6f937f6b833ea26d00eba71,A Subgoal-driven Framework for Improving Long-Horizon LLM Agents,EXCLUDE,"web-navigation subgoal planning framework, not context degradation"
543,9215c2e5a155aa24ee6051c218d196531f7307ec,Toward Autonomous Long-Horizon Engineering for ML Research,EXCLUDE,"multi-agent ML-research system architecture, context loss incidental"
544,e2506d2cb47a732593a98da28a8b69ad4baa409a,Intrinsic Credit Assignment for Long Horizon Interaction,EXCLUDE,"RL credit-assignment training method, not context degradation"
546,13bac953404320ba36c175b4f25b3fd4af0b40ef,Spark: Strategic Policy-Aware Exploration via Dynamic Branching for Long-Horizon Agentic Learning,EXCLUDE,"RL exploration training method, not context degradation"
549,d4bc609eb4aaa67e4e09f719f048d75bfa4a3fdd,"OdysseyArena: Benchmarking Large Language Models For Long-Horizon, Active and Inductive Interactions",EXCLUDE,"inductive-reasoning agent benchmark, unrelated to context contamination"
551,960fb2ff6bc20697a0ca16d65e9e95c5b57a118b,Toward Ultra-Long-Horizon Agentic Science: Cognitive Accumulation for Machine Learning Engineering,INCLUDE,context-saturation management architecture for long-horizon agents
552,c44cd4b7182d617e1d5d2ee4b2ba9cc1b289ce95,HINTBench: Horizon-agent Intrinsic Non-attack Trajectory Benchmark,EXCLUDE,"explicitly studies non-attack intrinsic risk, excludes contamination/injection"
554,22ed587f931686c4c316af6f020eadc99374352a,When Users Change Their Mind: Evaluating Interruptible Agents in Long-Horizon Web Navigation,EXCLUDE,"user-interruption handling benchmark for web agents, not degradation"
556,b2e3e5834ea4dace4491339188eaf93eca971fa5,Shopping Companion: Benchmarking and Training LLM Agents for Long-Horizon Preference-Grounded E-Commerce Tasks,EXCLUDE,e-commerce agent benchmark using long-context memory task
563,77bfe8cf416db4b8c066ed27b2028e60cefab050,RetailBench: Evaluating Long-Horizon Autonomous Decision-Making and Strategy Stability of LLM Agents in Realistic Retail Environments,EXCLUDE,"retail/supply-chain decision-making benchmark, unrelated"
571,8a08b57a66ba72878489b7645fa0c8c7cdd766af,Implicit Strategic Optimization: Rethinking Long-Horizon Decision-Making in Adversarial Poker Environments,EXCLUDE,"poker/game-theoretic RL framework, unrelated despite 'adversarial' title"
572,f85865ea1f51072f83460a77cdbdf1af1a0b559f,Hera: Learning Long-Horizon Coordination for Device-Cloud Collaborative LLM Agents,EXCLUDE,"device-cloud routing systems paper, not about context degradation"
574,fe4c48edfa082ba6c1bd2826ae79091b7a006205,Can Interest-Bearing Positions Solve the Long-Horizon Problem in Prediction Markets?,EXCLUDE,prediction-market economics paper using LLM agents as tool
576,00a392559287f448c41d331f0e43694389177348,CHILL-Harness: Counterfactual Harness Learning for Efficient Reasoning in Long-Horizon Agents,EXCLUDE,"causal agent-harness orchestration for efficiency, not context-focused"
577,8ff9c033934b39ec676e42bc84baa654e2453cc6,Environment Maps: Structured Environmental Representations for Long-Horizon Agents,EXCLUDE,structured environment representation for web-agent reuse
578,023292350ef95533d99264dab96ffbd271b24b45,LUMINA: Long-horizon Understanding for Multi-turn Interactive Agents,INCLUDE,isolates history-pruning as causal fix for context-distractor accumulation
579,dd882cbbf15ad8e1ebc2c903783f85776e12ea8d,Group-Graph Policy Optimization for Long-Horizon Agentic Reinforcement Learning,EXCLUDE,"RL algorithm (graph-based credit assignment), not context degradation"
580,316d27e62a9e3acd1325a32f1a18fce312c3bfb4,"Rewarding Beliefs, Not Actions: Consistency-Guided Credit Assignment for Long-Horizon Agents",EXCLUDE,RL algorithm addressing belief-state drift in POMDP training
581,3b04534002e0d95801c53ea45b690a9a18ef4cf3,StructAgent: Harness Long-horizon Digital Agents with Unified Causal Structure,EXCLUDE,"structured-state framework for digital agents, reliability/efficiency focus"
582,85d512098c3d3fe610bbc6347f8dfc0a3bead45d,SAFARI: Scaling Long Horizon Agentic Fault Attribution via Active Investigation,INCLUDE,"context-window attention-dilution in trajectory diagnosis, retrieval fix"
587,8506290282ae8217cd671abe48ef895f65bed473,AgentCPM-Explore: Realizing Long-Horizon Deep Exploration for Edge-Scale Agents,EXCLUDE,"small-model agent training methodology, not context degradation"
588,1bcdd41f57ff183ec338ee3b5fe6f1e3a94ab0b2,Don't Break the Cache: An Evaluation of Prompt Caching for Long-Horizon Agentic Tasks,EXCLUDE,"prompt-caching cost/latency benchmark, not context-quality degradation"
589,230ab088432e2fcc7e34b6148fd08fef30cb2077,PACEvolve: Enabling Long-Horizon Progress-Aware Consistent Evolution,INCLUDE,explicitly studies 'context pollution' degradation with mitigation
591,5c78768c7b6287943ea4c6366d7ffb740d2cf586,When the Specification Emerges: Benchmarking Faithfulness Loss in Long-Horizon Coding Agents,EXCLUDE,"coding-agent specification-disclosure benchmark, not context/noise degradation"
593,5f5613630ad62a8db6374ad2ab4a15fb51152a2d,Long-horizon Locomotion and Manipulation on a Quadrupedal Robot with Large Language Models,EXCLUDE,"quadrupedal robot locomotion/manipulation framework, unrelated"
594,c1dd8652f6094957a76d45c52cc74f3c1856f86a,Solving the Granularity Mismatch: Hierarchical Preference Learning for Long-Horizon LLM Agents,EXCLUDE,"DPO-based preference training methodology, not context degradation"
598,a5483bd5ab7b09491e1d296050899e497d17f640,The Illusion of Procedural Reasoning: Measuring Long-Horizon FSM Execution in LLMs,EXCLUDE,"procedural-reasoning/state-tracking capability study, not contamination"
600,27f8e33cf5eac88b85aabb2e9f9d6e6114cf2cbe,"Thought Management System for long-horizon, goal-driven LLM agents",EXCLUDE,no extractable summary; generic long-horizon agent framework title only
601,f17522d221a4e165d97d353b5bd5ac910f56ffe6,Reinforcement Learning for Long-Horizon Multi-Turn Search Agents,EXCLUDE,"RL training methodology for search agents, not context degradation"
602,c7209d659e918ae36e98fd51c31e5d96793efb80,LARM: Large Auto-Regressive Model for Long-Horizon Embodied Intelligence,EXCLUDE,"embodied Minecraft RL architecture, unrelated to context contamination"
603,ea03e6469bf50eda150c7091022a8b03730a15be,Closed-Loop Long-Horizon Robotic Planning via Equilibrium Sequence Modeling,EXCLUDE,"robotic planning training framework, unrelated to context contamination"
605,dbde02978c8ed3f5fe586f63bab200f617225e0f,LoHoRavens: A Long-Horizon Language-Conditioned Benchmark for Robotic Tabletop Manipulation,EXCLUDE,"robotic tabletop manipulation benchmark, unrelated to context contamination"
606,0e7f7aeba98f4d1922c538f3fb4b185e1c353d79,Hindsight Credit Assignment for Long-Horizon LLM Agents,EXCLUDE,"RL credit-assignment training method, not context degradation"
607,7cc1bebaeb6ba70b1d68d7c48e9ca89d8c9b3b47,Hierarchy-of-Groups Policy Optimization for Long-Horizon Agentic Tasks,EXCLUDE,RL training bias (historical context inconsistency in advantage est.)
608,ba68704cc82dae7076db8eaa846fb0fadb078ce5,TRIP-Bench: A Benchmark for Long-Horizon Interactive Agents in Real-World Scenarios,EXCLUDE,"travel-planning interactive-agent benchmark, unrelated"
622,arxiv:2606.02031,OpenWebRL: Demystifying Online Multi-turn Reinforcement Learning for Visual Web Agents,EXCLUDE,"web-agent RL training framework, context mgmt incidental infrastructure"
628,arxiv:2602.07092,Lemon Agent Technical Report,EXCLUDE,multi-agent orchestrator report; context mgmt one of many components
629,arxiv:2602.01550,S1-NexusAgent: a Self-Evolving Agent Framework for Multidisciplinary Scientific Research,EXCLUDE,scientific-research agent framework; context mgmt one of many components
630,arxiv:2601.19578,Yunque DeepResearch Technical Report,INCLUDE,explicitly targets context-overflow/lost-in-the-middle via dynamic context mgmt
631,arxiv:2601.02023,"Not All Needles Are Found: How Fact Distribution and Don't Make It Up Prompts Shape Retrieval, Reasoning, and Hallucination in Long-Context LLMs",INCLUDE,"extends needle-in-haystack to fact-distribution effects, adversarial discussion"
632,arxiv:2601.01857,Jenius Agent: Towards Experience-Driven Accuracy Optimization in Real-World Scenarios,EXCLUDE,production agent framework; memory pruning is one of several components
633,arxiv:2601.01743,"AI Agent Systems: Architectures, Applications, and Evaluation",EXCLUDE,"broad AI-agent-architecture survey, not centrally context contamination"
635,arxiv:2511.14460,Agent-R1: A Unified and Modular Framework for Agentic Reinforcement Learning,EXCLUDE,"RL training-infrastructure framework, context management incidental"
644,d95cb62f6b46d3c6b7b0708cc616d97d245ba980,Improving Coherence and Persistence in Agentic AI for System Optimization,INCLUDE,"explicitly names 'context rot' as failure mode, decoupled-context fix"
646,arxiv:2606.17930,How Inference Compute Shapes Frontier LLM Evaluation,EXCLUDE,inference-compute scaling study; context compaction is incidental technique
685,90f3913b21c8dbf0aff4f87cff82456d4743713d,On the Inseparability of Instructions and Data in Shared-Embedding Sequence Models,INCLUDE,formal impossibility theorem on prompt-injection defense
695,1f517e201e63cb9a4cd87c289ed41f0cd367d42c,Brain-Prompt Injection: A Route-Safety Audit for BCI-LLM Agents,INCLUDE,novel BCI-to-agent prompt-injection-analog attack surface
702,727c9d11c3c56afd4bdd93291328757119c9c77e,Cordyceps: Covert Control Attacks on LLMs via Data Poisoning,EXCLUDE,"fine-tuning-time backdoor data poisoning, not runtime context injection"
715,ef2cc535e75abb13c1680a96195465cccc57777e,Talk is (Not) Cheap: A Taxonomy and Benchmark Coverage Audit for LLM Attacks,EXCLUDE,"general LLM-attack-benchmark-ecosystem meta-audit, not centrally contamination"
723,c0de209bae19d27807acc85538f8deafbde4390a,"Security and Privacy of Large Language Models: Threat Taxonomy, Ethical Implications, and Governance",EXCLUDE,broad LLM security/privacy/governance lifecycle survey
725,959f9a894d4eef23ee23895116206875151bb1fc,Owner-Harm: A Missing Threat Model for AI Agent Safety,INCLUDE,formal threat model + evaluation of prompt-injection-mediated agent harm
729,b3d4488ddeda4aa364fab31468a3dc728f396cab,Prompt injection attacks on educational large language models for higher and vocational education,INCLUDE,prompt injection attacks on educational LLM agent pipelines
740,20de9e55b6c846184380423f3092d02f7318a0cf,Reverse CAPTCHA: Evaluating LLM Susceptibility to Invisible Unicode Instruction Injection,INCLUDE,invisible-Unicode indirect prompt injection attack on tool-using agents
743,3a6ca08f3507de0d642286defa5431f4088d0880,Prompt Injection as Role Confusion,INCLUDE,"mechanistic study of prompt injection via role confusion, CoT forgery"
759,0c7c7223a6b89ab68ae62f46c11d3150a14c03b6,The Silicon Psyche: Anthropomorphic Vulnerabilities in Large Language Models,EXCLUDE,"purely theoretical framework, no empirical attack/defense results"
762,a497744c319e8465df81a12ccfe60a2bce4017ea,Injecting Falsehoods: Adversarial Man-in-the-Middle Attacks Undermining Factual Recall in LLMs,INCLUDE,man-in-the-middle context-injection attack on factual recall
774,1121c75cb5290163f6b0d7f4b668043eb7cbf4b1,Separator Injection Attack: Uncovering Dialogue Biases in Large Language Models Caused by Role Separators,INCLUDE,role-separator vulnerability underlying prompt injection effectiveness
775,43408b3330d05250412940a0ea08791b35ebd185,Diverse and Effective Red Teaming with Auto-generated Rewards and Multi-step Reinforcement Learning,INCLUDE,red-teaming RL method evaluated on indirect prompt injection
778,6d4070ca0ba7ccdedb044c9a15301ad41f6aeb05,Cognitive Overload Attack:Prompt Injection for Long Context,INCLUDE,cognitive-overload prompt injection attack exploiting long context
785,3fddfd120f6992b00f42b4a770ccfb69353bcd8b,"Fine-Tuning, Quantization, and LLMs: Navigating Unintended Outcomes",EXCLUDE,"jailbreak-susceptibility study of fine-tuning/quantization, no agentic component"
793,e21b1f9b29e0fc0671300eab00a762c316c19793,A Systematic Literature Review of Prompt Injection Attacks in LLM-Integrated Systems,INCLUDE,systematic literature review of prompt injection in LLM-integrated systems
806,a3bd42e366ea8014f845c67ff6ea20887a8584ad,The Moral Case for Using Language Model Agents for Recommendation,EXCLUDE,"philosophy-of-computing paper on recommender ethics, injection mentioned in passing"
811,a26a44d8999faf96364718084459e188869dc177,The Hidden Risks of Large Reasoning Models: A Safety Assessment of R1,EXCLUDE,broad LRM safety benchmark; injection is one minor evaluated category
814,1104d766527dead44a40532e8a89444d9cef5c65,"""Do Anything Now"": Characterizing and Evaluating In-The-Wild Jailbreak Prompts on Large Language Models",EXCLUDE,"large-scale jailbreak-prompt-ecosystem study, no agentic/tool component"
834,33052adfce7643945366f2e58658ef40d75b0084,"Let AI Agents Translate Networks, Not Reason About Them",EXCLUDE,"network-operations formal-verification system, context-window mention tangential"
838,e1e40c634d6c9b889e9e6b8e5d81b1ea663e9f97,LongMedBench: Benchmarking Medical Agents for Long-Horizon Clinical Decision-Making,INCLUDE,long-context/memory degradation benchmark for medical agents
839,b244986a2809a716906dd7b15042c0eba6a58480,From Noisy Traces to Root Causes: Structural Trajectory Analysis and Causal Extraction for Agent Optimization,INCLUDE,explicitly targets context-noise trade-off in agent trajectory optimization
843,317d2659a28f8444d297f5020315bcdfc2509ab1,FinPersona-Bench: A Benchmark for Longitudinal Psychometric Stability of Autonomous Financial Agents,EXCLUDE,"financial-agent behavioral-mandate-drift benchmark, not context-length degradation"
860,653ca4825ad48531899871aa40c59300b6b97823,Context Viewer: Turning LLM Contexts into Analyzable Artifacts,INCLUDE,context-analysis tool for compaction and irrelevant-material accumulation
861,ae6e893d1f1ff1e2ef69d13ba6fa5483a638b47d,From Model Scaling to System Scaling: Scaling the Harness in Agentic AI,EXCLUDE,broad agent-architecture position paper; context governance one of 3 pillars
871,89c0debf69e1622d9b2669c945c4b77d0f3c5f5c,PiCA: Pivot-Based Credit Assignment for Search Agentic Reinforcement Learning,EXCLUDE,RL credit-assignment training method for search agents
873,78a6e2e1cd5a47a554f0c7d85ec603af516dbaf6,NARRA-Gym for Evaluating Interactive Narrative Agents,EXCLUDE,"interactive narrative-agent capability benchmark, not context contamination"
878,af34892d9d9db3f05615bf4b4f0cf19e370fa514,SOCIA-EVO: Automated Simulator Construction via Dual-Anchored Bi-Level Optimization,EXCLUDE,simulator-construction paper; 'contextual drift' is one of two motivations
880,e2f3d24644e25257fc0fa07a5f7adbc4ef52566f,The Long-Horizon Task Mirage? Diagnosing Where and Why Agentic Systems Break,EXCLUDE,"cross-domain long-horizon failure-diagnosis benchmark, not centrally context"
882,753d1386180d01ec26bd492b96da5ddcfd76e0ea,"Towards Real-world Human Behavior Simulation: Benchmarking Large Language Models on Long-horizon, Cross-scenario, Heterogeneous Behavior Traces",EXCLUDE,"human-behavior-simulation benchmark, unrelated to context contamination"
